video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1
000078,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"Daytime,dusk/down with basic light  vercast sky, wet road surface, and snow on the roadside.","Daytime, overcast sky, dry road surface, and no snow visible on the roadside.",n what type of traffic environment did the initial conflict that led to the crash occur?,Traffic Environment,On a rural high-speed highway with no intersections.,On a suburban road with multiple intersections and traffic signals.,What is the configuration of the main road shown in the video,Road Configuration,"A two-way road with multiple lanes, separated by double solid yellow lines.","two-way road with multiple lanes, separated by a single dashed yellow line.",What was the final and most severe type of collision that occurred as a result?,Accident Type,"A rear-end collision, where the sedan in reverse was hit by the white van.","side-impact collision, where the sedan was struck by a vehicle approaching from the opposite direction.",What was the primary action that initiated the chain of events leading to the collision?,Accident Cause,The driver of the white sedan unsafely blocked the main road and get ou of control,The driver of the white sedan attempted to merge into traffic without signaling properly,Which action by one of the drivers could have most effectively prevented this entire accident sequence from happening?,Accident Prevention,The sedan should not turn at the highway,The van should have slowed down to allow the sedan to merge safely
000083,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Nighttime or dusk with wet road surfaces and some snow, under ample artificial lighting.","Daytime with clear skies and dry road surfaces, under natural sunlight",Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A busy urban commercial street with multiple lanes, parked cars, and pedestrian activity.","residential neighborhood with narrow roads, minimal traffic, and few commercial buildings.",What specific road feature was at the moment of the collision?,Road Configuration,A parallel parking space on the right side of the street.,perpendicular parking space on the left side of the street.,How would you classify the type of collision shown in the video?,Accident Type,A collision between a reversing vehicle and a parked vehicle,collision between a moving vehicle and a pedestrian,What was the primary cause of this accident?,Accident Cause,The driver failed to control the vehicle while picking up passengers,The driver attempted to open the door while the vehicle was in motion,Which of the following actions would have been the most crucial and effective measure to prevent this specific accident?,Accident Prevention,The front car driver fully stops the vehicle before picking up passengers,The passenger opens the car door only after ensuring no vehicles are approaching from behind
000087,"Based on the visual evidence, what are the prevailing weather and road surface conditions at the time of the incident",Weather & Light,"Daytime and overcast, with significant snow and slush on the road surface, indicating slippery conditions.","Daytime and overcast, with wet pavement from recent rain, suggesting reduced traction due to moisture.",What is the status of the traffic control devices for the vehicles approaching the crosswalk,Traffic Environment,"multi-lane, two-way urban arterial road with a marked pedestrian crosswalk.","single-lane, one-way urban street with a pedestrian crossing and no traffic signals",How can the road where the accident occurred be best described?,Road Configuration,"The traffic light is green, with pedestrians waiting behind the crosswalk.","The traffic light is red, with pedestrians crossing the street in front of the crosswalk.",Which statement accurately classified the event in this accident?,Accident Type,A rear-end collision of the POV car and an emergency-stopped car,sideswipe collision between the POV car and a vehicle in the adjacent lane,What was the most critical and direct cause of the collision?,Accident Cause,"A car strikes a pedestrian in a crosswalk and emergency stopped, resulting in a rear-end crash","vehicle loses control on a snowy road and collides with a parked car, causing a chain reaction crash",Which action would have most effectively prevented this entire incident?,Accident Prevention,Slowing down and preparing to stop upon seeing the pedestrian crossing the road,Maintaining a safe following distance from the vehicle ahead
000109,"Based on the video, what were the weather and lighting conditions when the event occurred?",Weather & Light,"Daytime, with clear skies and good visibility.","Daytime, with light cloud cover and moderate visibility.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban street with a median strip and buildings,wide suburban road with minimal buildings and no median strip,What is the road configuration at the location where the dangerous maneuver occurs?,Road Configuration,An intersection of two multi-lane road,wide arterial road with multiple lanes and no visible intersections,What type of incident occurred between the ego vehicle and the silver car?,Accident Type,A side-swipe collision caused by the silver car merging too slowly.,rear-end collision caused by the ego vehicle following too closely.,What was the primary cause of this dangerous incident?,Accident Cause,The silver car driver made an unsafe and abrupt entry into the lane without yielding the right-of-way.,"The red van suddenly accelerated and changed lanes without signaling, causing the collision.",What action would have most effectively prevented this side-swipe?,Accident Prevention,the silver car's driver turns wider and reduces speed,the black car's driver maintains a steady speed and stays in the right lane
000115,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Daytime and cloudy, with a wet road surface and significant puddles.","Daytime and overcast, with a dry road surface and minimal water accumulation.",Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,An urban or suburban road with low buildings on the roadside.,rural highway with open fields and minimal roadside structures.,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A multi-lane road in poor condition,with parked cars and low traffic volume","single-lane road in fair condition, with no parked vehicles and moderate traffic volume",What type of incident occurs between the silver station wagon and the white hatchback?,Accident Type,"A T-bone (side-impact) collision, a reversing car was hitted by POV car when trying to park into the position","rear-end collision, where the silver station wagon struck the white hatchback from behind while both vehicles were moving forward",What is the primary cause of this hazardous incident?,Accident Cause,The POV car's driver failing to reduce speed when approaching the reversingminivan,The minivan driver failing to check blind spots before reversing,What was the most direct and appropriate action could have taken to prevent this incident?,Accident Prevention,The POV vehicle should slow down in such condition.,The other vehicle should have yielded when entering the roadway.
000130,"Based on the visual evidence, what were the prevailing weather and road conditions at the time of the accident?",Weather & Light,Daytime with an overcast sky and a wet road surface.,Daytime with a clear sky and a dry road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural main road with low shed alongside.,suburban road with commercial buildings and a pedestrian crossing.,What is the configuration of the road on which the accident takes place?,Road Configuration,A  busy intersection of a main highway and two rural road on each side,two-lane rural road with a side turn-off and minimal traffic flow,What type of collision occurred between the silver sedan and the green semi-truck?,Accident Type,"A rear-end collision, where the truck hit the right back of the sedan.","sideswipe collision, where the sedan and truck made contact along their side panels.",What was the most direct cause of the accident?,Accident Cause,The truck was too fast to avoid the sedan waiting for turn,The sedan made an unsafe left turn without signaling,Which action would have been most effective in preventing this accident?,Accident Prevention,The truck reduces speed in village areas,The car maintains a safe distance from the vehicle ahead
000136,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Snowy daytime with overcast skies and significant snow accumulation on the roadsides.,Clear daytime with light snow on the ground and partly cloudy skies,Which of the following best describes the traffic environment and road surface conditions?,Traffic Environment,"An urban area with multi-lane roads covered in slush and melted snow, creating very slippery conditions.","suburban area with narrow roads partially covered in snow, creating moderately slippery conditions.",What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane urban arterial road with at least two lanes per direction,two-lane rural road with a center divider and snow-covered shoulders,How would you classify the sequence of events leading to the collision?,Accident Type,"A rear-end collision, the POV car hit the front car","sideswipe collision, the POV car scraped the side of the front car",What was the most likely primary cause for the incident?,Accident Cause,A sudden turn of the front car to take passenger,The rear car failed to maintain a safe following distance,What would have been the most effective action to prevent this accident?,Accident Prevention,The front car driver wait for the video car to pass before starting the maneuver.,The video car should have reduced speed earlier to allow the front car to complete its turn.
000137,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"It was a clear, sunny day with a wet road surface causing glare, and snow was present on the roadside.","It was a cloudy day with heavy rain, resulting in poor visibility and wet road conditions.",Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A multi-lane urban main road at an intersection, featuring marked crosswalks.",two-lane suburban road with no marked crosswalks and minimal pedestrian activity.,What is the configuration of the intersection and the likely traffic control for the involved vehicles?,Road Configuration,A signalized intersection with vechcles coming from the opposite and the right side of the POV vechcle.,"four-way intersection with stop signs controlling traffic from all directions, and vehicles approaching from the left and front of the POV vehicle.",What type of collision occurred?,Accident Type,"A T-bone (side-impact) collision, where the front vehicle struck the two vehicles from the right side in a row","sideswipe collision, where two vehicles traveling in the same direction made lateral contact along their side panels",What was the primary and most direct cause of this accident?,Accident Cause,The driver of the opposite sedan was too fast to get through an intersection before red light,The sedan failed to yield to the pedestrian crossing the street at the intersection,How could this accident have been most effectively prevented?,Accident Prevention,The oppsite sedan slows down in the intersection area,The sedan on the right yields to the pedestrian before entering the intersection
000142,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with an overcast sky, with wet road surfaces and good visibility.","Daytime with a clear sky, dry road surfaces, and moderate visibility.","""Which of the following best describes the environment where the accident takes place?",Traffic Environment,An urban multi-lane thoroughfare surrounded by high-rise apartment buildings.,suburban road with low-rise commercial buildings and wide sidewalks.,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A multi-lane T-junction, with at least three lanes in the same direction, marked by dashed lines.","multi-lane intersection with two lanes in the same direction, separated by solid lines and featuring a crosswalk at the junction.",How can the collision shown in the video be most accurately classified?,Accident Type,"A head-on/T-bone collision, initiated by one vehicle making an abrupt cut-in maneuver in front of another.","rear-end collision, caused by a vehicle failing to maintain sufficient following distance behind the car in front.","What was the primary, direct cause of this accident?",Accident Cause,The dark car executed a sudden and unsafe left-turn without yielding the right of way.,The black car failed to maintain a safe following distance while traveling in the same lane.,Which action would have been most effective in preventing this crash?,Accident Prevention,"Checking mirrors and blind spots, using a turn signal, and changing lanes one at a time when clear.",Maintaining a safe following distance and avoiding sudden braking in heavy traffic.
000156,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and a dry road surface.,Overcast conditions with reduced visibility and a wet road surface.,Which of the following best describes the immediate environment where the crash happened?,Traffic Environment,A sububan area with construction site on one side,residential neighborhood with a small park on the side,What is the configuration of the road shown in the video?,Road Configuration,A two-directional straight road with high trucks on the road.,one-way road with heavy vehicles traveling in a single direction,What is the direct type of collision that occurs at the end of the video?,Accident Type,A rear-end collision between the ego-car and the front black car.,side collision between the ego-car and a black car entering from the left lane.,What caused the  incident?,Accident Cause,The ego-car performed a dangerous lane change without knowing the lane ahead.,The ego-car failed to yield to a vehicle merging from the right lane.,Which of the following actions would have most likely prevented this accident?,Accident Prevention,Completing the overtake and merging back safely with adequate space ahead of the truck.,Maintaining a safe following distance behind the truck and avoiding any lane changes.
000157,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with overcast skies and general lighting conditions.,Daytime with clear skies and bright sunlight,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,On a busy urban road near an intersection with an active green traffic light for the straight-through traffic.,"On a multi-lane urban road with moderate traffic flow and a pedestrian crossing nearby, but no visible traffic signals.",What is the configuration of the road where the incident takes place?,Road Configuration,An intersection with 2 multi-lane arterial roads and busy traffic,straight multi-lane road with moderate traffic and no visible intersections,What type of collision occurs?,Accident Type,"A side-impact (T-bone) collision, where the front of the motorcycle strikes the side of the car.","rear-end collision, where the motorcycle strikes the back of a car.",What was the primary and most direct cause of this accident,Accident Cause,The silver car entered the intersection with a high spped without observing.,The blue car failed to maintain a safe following distance behind the motorcycle.,Which action would have been the most effective way to prevent this collision?,Accident Prevention,The driver of the silver car should have yielded to straight-through traffic and waited for a safe gap before crossing.,The driver of the blue car should have slowed down and signaled before changing lanes to avoid obstructing traffic.
000159,"Based on the video, what were the environmental and road conditions at the time of the accident?",Weather & Light,Daytime with overcast or cloudy skies and a dry road surface.,Daytime with clear skies and a wet road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban main road with moderate traffic and trees lining the street.,wide suburban arterial road with light traffic and minimal tree coverage along the sides.,What is the configuration of the road on which the vehicles are traveling?,Road Configuration,"A multi-lane, one-way straight road with a double solid lin as median, moderate traffic.","multi-lane, two-way straight road with a dashed center line, light traffic.",What was the primary and most direct cause of this accident?,Accident Type,A rean-end coliision.,sideswipe collision between two vehicles in adjacent lanes.,What was the primary cause of this accident?,Accident Cause,"Due to distraction or losing control, the black car did not brake following the vehicle in front.","The black car attempted to change lanes abruptly, causing the vehicle behind to swerve and collide.",Which action would have most likely prevented this crash?,Accident Prevention,Focus on driving and driving significantly slower.,Maintain a safe following distance and use turn signals when changing lanes.
000161,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane urban road with moderate traffic, including cars, a bus, and a truck.","two-lane suburban road with light traffic, including a few cars and a bus.",What is the configuration of the road where the accident occurs?,Road Configuration,"A straight, multi-lane highway with a guardrail on the left.","straight, multi-lane road with a median barrier separating opposing traffic flows.",How would you classify the type of collision that occurs in the video?,Accident Type,A rear-end collision where the sedan hit the truck from behind.,sideswipe collision where the sedan made contact with the truck's side while changing lanes.,What was the primary cause of this accident?,Accident Cause,The sedan was so fast that no time for reaction when former car stop,"The sedan was distracted by a pedestrian crossing the road, causing it to lose control and collide with the vehicle ahead",Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,The car fully observes taffic environment and focus one driving to react in time,The driver maintains a safe following distance and avoids sudden lane changes
000163,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and moderate visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban road with buildings and sheds,wide rural highway with open fields and sparse vegetation,,,,,ow would you classify the type of collision that occurs in the video?,Accident Type,A sideswipe collision initiated by an improper lane change.,rear-end collision caused by sudden braking in heavy traffic.,What was the primary cause of this accident?,Accident Cause,The driver of the light-color car failed to yield the right-of-way to oncoming traffic before making a left turn.,The driver of the dark-color car failed to maintain a safe following distance while approaching the intersection.,Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,The silver car driver should have waited for the oncoming traffic to clear before starting the left turn.,The driver of the white car should have maintained a greater following distance to avoid sudden braking.
000166,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",It was a partly cloudy day with moderate visibility and a wet road surface.,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A suburban arterial road with multiple lanes, low residential properties",commercial urban corridor with multi-level structures and heavy signage,What's the road configuration when crash happened,Road Configuration,"A highway bend with a secondary road exit on the right, which is quite crowded and has low traffic on the main road. There is a railway bridge above.","straight highway section with a pedestrian overpass and multiple lanes of moderate traffic, featuring a billboard on the right side and no visible secondary road exits.",What is the most accurate classification of this traffic incident?,Accident Type,A severe haed-on collison,rear-end collision involving multiple vehicles,"What was the primary, initiating cause of this hazardous situation?",Accident Cause,"The opposite, dark SUV was too fast and outof control",The dark SUV failed to yield at the intersection and entered the roadway without checking traffic,"To avoid such accident, what should one of the drivers do?",Accident Prevention,"The SUV should slow down in bend area, ensure the vehicle is in good condition before driving",The SUV should maintain a safe distance from the vehicle ahead and avoid sudden lane changes
000167,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Dusk/dawn with good visibility and a dry road surface."",",Daytime with moderate visibility and a wet road surface,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway in suburban area,multi-lane highway in an urban area,What is the configuration of the road where the incident occurs?,Road Configuration,"It is a straight, one-way highway with at least three marked lanes with moderate traffic flow and a solid barrier on the left side.","It is a straight, two-way highway with at least three marked lanes and moderate traffic flow, separated by a median barrier on the left side.",What type of accident is about to occur in the video?,Accident Type,A serial accident consists of a T-bone collision by the car that lost control after committing a rear-end collision.,sideswipe collision occurs when the car in front swerves into the adjacent lane and makes lateral contact with another vehicle.,What are the primary contributing factors that led to this collision?,Accident Cause,The silver sedan changed lanes so fast and failed to brake afterward,"The black SUV suddenly slowed down without signaling, causing the vehicle behind to swerve sharply",What would have been the most crucial action to prevent this accident?,Accident Prevention,The sedan should brake when changing lanes,The sedan should maintain a steady speed while changing lanes
000177,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",Overcast skies with moderate sunlight during early morning.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.","suburban highway with light, steady traffic.",What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,curved multi-lane road with faded lane markings and visible shoulder lines.,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,sideswipe collision where the POV car hits the vehicle beside it.,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,"The vehicle in front suddenly braked without warning, causing the collision.",What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,The vehicle in front should have maintained a consistent speed to avoid sudden braking.
000179,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy day with an overcast sky and a dry road surface.,Partly sunny with scattered clouds and a wet road surface.,Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,A suburban multi-lane arterial road with moderate traffic.,rural two-lane road with light traffic and open surroundings.,What is the road layout at the location of the initial collision?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a double solid line.","two-way road with a single lane in each direction, separated by a dashed center line.",How can the sequence of collisions in this accident be most accurately described?,Accident Type,A T-bone collision during a right turn.,sideswipe collision between two vehicles traveling in the same direction.,What was the primary human error that led to this accident?,Accident Cause,The truck driver changed lanes without properly checking the large blind spot on the vehicle's right side.,The car in the adjacent lane failed to maintain a safe following distance while approaching the intersection.,Which action would have been most effective in preventing this entire sequence of events?,Accident Prevention,Performing a thorough visual check of all mirrors and blind spots before initiating the lane change.,Maintaining a safe following distance from the vehicle ahead to allow for sudden stops.
