video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q1_ans_wrong4,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q2_ans_wrong4,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q3_ans_wrong4,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q4_ans_wrong4,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q5_ans_wrong4,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3,q6_ans_wrong4
000177,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",Overcast skies with moderate sunlight during daytime.,Heavy rain and reduced visibility in the early morning hours.,Partly cloudy conditions with bright sunlight during afternoon.,Foggy weather with dim lighting in the late evening.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.","suburban road with light, steady traffic.",highway with moderate traffic and wide lanes.,An urban road with sparse traffic and frequent stops.,city street with heavy congestion and slow-moving vehicles.,What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,narrow two-lane road with no visible lane markings,curved highway with multiple lanes and divided traffic flow,straight multi-lane road with faded lane markings and heavy traffic,residential street with parked cars on both sides and limited lanes,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,side-swipe collision where the POV car brushes against a vehicle in an adjacent lane.,rear-end collision where the vehicle ahead hits the POV car.,multi-vehicle pileup involving several cars colliding in a chain reaction.,T-bone collision where the POV car strikes the side of another vehicle at an intersection.,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,"The vehicle in front suddenly braked without warning, causing the collision.",The collision occurred because the POV driver was distracted by a phone call.,The accident happened due to the lead vehicle making an unexpected lane change.,The primary cause was poor road conditions that reduced tire traction.,What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,POV driver should have changed lanes to avoid the vehicle ahead slowing down.,"The vehicle ahead braked suddenly, causing the accident.",POV driver could have reduced speed slightly while maintaining a safe distance.,The driver should have focused more on the side traffic to anticipate sudden movements.
000179,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy day with an overcast sky and a dry road surface.,Sunny day with scattered clouds and a wet road surface due to recent rain.,Clear sky with bright sunlight and dry pavement conditions.,Cloudy day with an overcast sky and a wet road surface from light drizzle.,Partly cloudy weather with moderate sunlight and visible puddles on the roadway.,Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,A suburban multi-lane arterial road with moderate traffic.,busy urban intersection with heavy traffic and multiple lanes of movement,rural two-lane road with light traffic and open surroundings,An urban highway with controlled access and high-speed traffic flow,residential street with low speed limits and parked vehicles along the sides,What is the road layout at the location of the initial collision?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a double solid line.",multi-lane road with a single solid center line separating traffic in opposite directions.,two-way road with one lane in each direction and no physical separation between lanes.,divided highway with a median barrier and multiple lanes in each direction.,one-way road with vehicles traveling in the same direction on both sides of the double solid line.,How can the sequence of collisions in this accident be most accurately described?,Accident Type,A T-bone collision during a right turn.,rear-end collision caused by a vehicle stopping abruptly.,side-swipe incident during lane changing.,T-bone collision occurring while making a left turn.,head-on collision due to crossing the center line.,What was the primary human error that led to this accident?,Accident Cause,The truck driver changed lanes without properly checking the large blind spot on the vehicle's right side.,The truck driver failed to maintain a safe following distance behind the vehicle in front.,"The car driver suddenly swerved into the truck's lane, causing the collision.",The truck driver checked his mirrors but did not notice the vehicle in the blind spot due to poor visibility.,The accident occurred because the truck driver was distracted by a phone call while driving.,Which action would have been most effective in preventing this entire sequence of events?,Accident Prevention,Performing a thorough visual check of all mirrors and blind spots before initiating the lane change.,Checking the side mirrors immediately after completing the lane change,Maintaining a safe following distance from the vehicle ahead throughout the maneuver,Using the turn signal to alert other drivers before beginning the lane change,Reducing speed gradually while approaching the area where the lane change occurred
000181,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A nomal dusk with good visibility,cloudy morning with reduced visibility,bright afternoon with clear skies and strong sunlight,rainy evening with wet roads and headlights on,foggy night with limited visibility due to low light,Which of the following best describes the traffic environment where the accident happened?,Traffic Environment,"An urban area with multi-story buildings, trees, and commercial billboards.","suburban area with low-rise houses, open fields, and minimal signage.","rural road surrounded by forests, with no buildings or commercial signs visible.","An urban intersection featuring multi-story buildings, trees, and pedestrian crossings but lacking commercial billboards.","busy downtown district with high-rise office buildings, traffic lights, and heavy vehicle flow.",What is the road configuration at the accident location,Road Configuration,"A multi-lane main road with a marked crosswalk, approaching a signalized intersection.","two-lane residential street with a pedestrian crossing, leading to an uncontrolled intersection.","multi-lane road with a marked crosswalk, but no traffic signals present at the intersection.","wide arterial road with a crosswalk and traffic lights, approaching a roundabout instead of a signalized intersection.","single-lane urban road with a painted crosswalk, where pedestrians are crossing without traffic control devices.",What type of collision occurred between the two vehicles?,Accident Type,"A series of T-bone collisions, the silver car was hit by two vehicles going straight",side-swipe collision occurred when the silver car changed lanes abruptly,The silver car caused a rear-end collision by stopping suddenly in traffic,T-bone collision happened when the silver car was struck by one vehicle from the side,The vehicles collided due to a head-on impact while traveling in opposite directions,What was the primary cause of this accident?,Accident Cause,"The silver car made an abrupt, unsignaled, and sharp turn across an occupied lane of traffic.",The silver car was traveling at a high speed when it entered the intersection.,The pedestrian crossing the street caused the silver car to swerve abruptly.,The silver car made an unsignaled turn but was responding to a sudden hazard in traffic.,The driver of the silver car failed to yield to vehicles already in the lane.,How could this accident have most likely been prevented?,Accident Prevention,"The driver of the silver car should have checked mirrors/blind spots, signaled, and only changed lanes when it was safe to do so.",The driver of the silver car should have accelerated quickly to avoid the pedestrian in the crosswalk.,The pedestrian should have waited for the traffic light to change before crossing the street.,"The driver of the silver car should have checked mirrors and signaled, but only if no pedestrians were present.",The accident could have been prevented if the driver had not been distracted by a phone call while driving.
000182,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy skies with dry road surfaces.,Overcast skies with wet road surfaces due to recent rainfall,Bright sunlight and clear visibility with dry pavement,Partly cloudy weather with light rain causing slippery conditions,Heavy fog reducing visibility and dampening the road surface,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,At suburban intersection with active traffic signals.,At a rural intersection with no traffic control devices.,On a multi-lane highway with continuous traffic flow.,At an urban intersection controlled by stop signs only.,In a residential area with low-speed limits and pedestrian crossings.,What is the configuration of the road where the accident took place?,Road Configuration,A busy signalized multi-lane intersection.,two-way road with a stop sign and no traffic signals.,multi-lane road with a roundabout and no signalized intersections.,busy intersection with traffic lights but only two lanes in each direction.,single-lane road with pedestrian crossings and no traffic control devices.,What type of collision occurred between the truck and the SUV?,Accident Type,A side-impact (T-bone) collision where the front of the van hit the side of the minivan.,rear-end collision where the van struck the back of the minivan,head-on collision between the front ends of both vehicles,side-impact collision where the minivan hit the side of the van,T-bone collision where the minivan's front end struck the side of the truck,What was the primary and direct cause of this accident?,Accident Cause,The red van driver failed to stop at a red traffic light and entered the intersection.,"The white van suddenly changed lanes without signaling, causing the red van to swerve.","The red van driver braked too late after entering the intersection, leading to the collision.",The red van was traveling at a high speed when it approached the traffic light.,"The black car in front of the red van stopped abruptly, forcing it to collide with the vehicle ahead.",Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The red minivan waits for a safe and clear gap in traffic before entering and crossing the main road.,The white van yields to the red minivan before entering the main road.,The red minivan accelerates quickly to merge into traffic without checking for gaps.,The driver of the red minivan signals left but does not ensure the path is clear before moving.,The car behind the red minivan slows down to avoid a collision after the minivan enters the lane.
000185,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light rain and reduced visibility,Nighttime with clear skies and good visibility,Daytime with cloudy skies and moderate visibility,Early morning with foggy conditions and limited visibility,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,quiet residential street with low speed limits and no commercial signage.,rural highway with minimal traffic and open surroundings.,busy urban intersection with traffic lights and pedestrian crossings.,two-lane road with roadside trees and limited advertising billboards.,What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,multi-lane roundabout with traffic signals,two-way undivided road with a crosswalk,signalized intersection with a merging lane from the right,four-way intersection controlled by stop signs,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,side-swipe collision between the vehicles traveling in the same direction.,rear-end collision caused by the vehicle behind failing to maintain distance.,T-bone collision where one vehicle struck the side of another at an intersection.,"collision resulting from a sudden lane change by the vehicle in front, causing loss of control.",What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,"The sedan turned left without signaling, causing the collision.",The accident occurred because the sedan was hit by another vehicle from behind.,The sedan failed to yield at the intersection due to poor visibility.,The driver of the sedan was distracted by a phone call while driving.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,The sedan maintains a steady speed while approaching the intersection.,The sedan accelerates to clear the intersection before the light changes.,The sedan slows down but continues through the intersection without stopping.,The sedan turns left abruptly to avoid the vehicle entering from the side.
000187,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daytime, with clear skies and dry road surfaces.","Daytime, with overcast skies and wet road surfaces due to recent rain.","Nighttime, with low visibility caused by streetlights reflecting off the pavement.","Daytime, with clear skies but wet road surfaces from morning dew.","Early evening, with fading light and partially cloudy skies affecting visibility.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road roadway with moderate traffic.,two-lane road with heavy traffic and frequent lane changes,single-lane roadway with light traffic and minimal vehicle interaction,multi-lane road with high-speed traffic and clear lane markings,residential street with low traffic volume and parked vehicles on both sides,What is the road configuration at the location of the incident?,Road Configuration,A straight segment of a multi-lane road.,curved section of a two-lane road with traffic moving in both directions.,An intersection with a stop sign and multiple vehicles approaching from different directions.,straight stretch of road with a median divider separating opposing traffic flows.,narrow urban street with parked cars along both sides and limited visibility ahead.,How should the collision between the silver sedan and the blue hatchback be classified?,Accident Type,A side-impact (T-bone) collision.,rear-end collision between the silver sedan and the blue hatchback.,head-on collision involving the silver sedan and the blue hatchback.,side-impact collision where the blue hatchback struck the front of the silver sedan.,multi-vehicle collision caused by sudden braking in traffic.,What was the primary critical error that led to this collision?,Accident Cause,The silver sedan failed to yield the right-of-way to through traffic.,The blue sedan entered the intersection without signaling its intent to turn.,"The white sedan accelerated unexpectedly, causing the silver vehicle to collide.",The silver sedan was traveling at a speed exceeding the posted limit when entering the intersection.,The driver of the silver sedan misjudged the distance to the oncoming vehicles and proceeded anyway.,What action would have been the most effective way to prevent this accident?,Accident Prevention,The driver of the silver sedan waits for a safe and clear gap in traffic before attempting to cross or enter the lane.,The driver of the blue sedan should have slowed down to avoid colliding with the vehicle in front.,The silver sedan could have avoided the accident by accelerating quickly to merge into traffic.,The driver of the white sedan should have checked their blind spot before changing lanes.,The pedestrian crossing the street should have waited for a gap in traffic before stepping out.
000188,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was a rainy day, and the road surface was wet.","It was a cloudy day, but the road surface was dry.","The rain caused the road to become wet, leading to reduced visibility.","It was a sunny day with light rain, and the road had some wet patches.","The lighting was dim due to the overcast sky, but there was no precipitation.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area characterized by high-rise residential buildings.,suburban area with low-rise apartment buildings and wide streets.,commercial district dominated by shopping centers and retail stores.,An urban environment featuring high-rise residential buildings and active traffic flow.,residential neighborhood with single-family homes and limited vehicle movement.,What is the road configuration at the location of the incident?,Road Configuration,A multi-lane urban road approaching an intersection with traffic lights.,two-lane rural road with no traffic signals and minimal surrounding infrastructure.,multi-lane highway with a roundabout and no visible traffic lights.,single-lane urban street approaching an intersection with a stop sign but no traffic lights.,"wide city road with multiple lanes and traffic lights, but the intersection is not clearly visible due to weather conditions.",What type of collision occurred between the red car and the silver one?,Accident Type,"A head-on collision, where the two vehicles hit front to front.","side-impact collision, where the red car struck the silver vehicle on its driver's side.","rear-end collision, caused by the red car failing to stop in time behind the silver vehicle.","head-on collision, but only because the silver car suddenly turned into the path of the red car.","T-bone collision, occurring when the red car hit the side of the silver car at a perpendicular angle.",What was the direct and primary cause of the collision?,Accident Cause,The silver car drived into the opposite lane,The red car failed to stop at the traffic light,The silver car was hit by the truck from behind,The driver of the silver car lost control due to slippery road conditions,The collision occurred because the red car suddenly accelerated,ow could one of the drivers do to prevent this accident effectively,Accident Prevention,The silver sedan focuses on driving while turning.,The silver sedan should have slowed down before entering the intersection.,The driver of the red car could have turned on their hazard lights to alert others.,The silver sedan maintained a safe distance while approaching the traffic light.,The driver should have checked the side mirrors more frequently during the turn.
000190,"Based on the visual information, what were the weather and lighting conditions at the time of the incident?",Weather & Light,It was daytime with clear weather and good visibility.,It was daytime with light rain and reduced visibility.,The weather was clear but it was nighttime with artificial lighting.,It was daytime with partly cloudy skies and moderate visibility.,"The conditions were overcast with fog, making visibility poor.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,The scene takes place on a multi-lane urban road.,The scene takes place on a two-lane rural road with minimal traffic.,The traffic environment is characterized by heavy congestion due to a nearby construction zone.,"The road features multiple lanes and urban infrastructure, but it is located in a suburban area.",The setting appears to be a highway with high-speed traffic and limited pedestrian activity.,What is the configuration of the road where the incident occurs?,Road Configuration,"A multi-lane road, moderate traffic flow, approaching a signalized intersection with a crosswalk.","two-lane road with heavy traffic flow, approaching a roundabout without a crosswalk.","multi-lane road with light traffic, located near a pedestrian crossing but without signalized intersection controls.","single-lane road with moderate traffic, approaching a stop sign-controlled intersection with a crosswalk.","multi-lane road with moderate traffic, approaching a signalized intersection but without a visible crosswalk.",How would you classify the type of accident that occurs in the video?,Accident Type,A severe head-on collision in the left lane.,side-impact collision involving a vehicle changing lanes in the right lane.,rear-end collision caused by a sudden stop in the center lane.,head-on collision in the right lane due to a vehicle crossing into oncoming traffic.,minor fender bender between two cars at a pedestrian crossing.,What was the primary cause of this collision?,Accident Cause,The opposite white car entered the wrong lane,The white car failed to yield at the intersection,The red vehicle suddenly accelerated into the cross path,The driver of the white car was distracted by a mobile phone,The collision occurred because the traffic light turned yellow just before impact,Which action could have most effectively prevented this incident?,Accident Prevention,The oppsite car slows down and observes the road sign carefully.,The driver maintains a safe distance from the vehicle ahead.,The pedestrian crosses the road quickly before the light changes.,"The car stops suddenly after seeing the pedestrian, causing a rear-end collision.",The driver turns left without checking the side mirror.
000191,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was a near-dusk time with dry road.,It was a bright daytime with wet road conditions.,The accident occurred during heavy rain with poor visibility.,It was early morning with dry pavement and clear skies.,"The lighting was dim due to overcast clouds, but the road was dry.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An rural road with moderate traffic flow and surrounded by woods,busy urban intersection with heavy traffic and multiple lanes,narrow residential street lined with parked cars and houses,highway with high-speed traffic and limited visibility due to fog,rural road with light traffic flow and open fields on both sides,What is the configuration of the main road on which the blue van was traveling?,Road Configuration,A multi-lane road approaching a T-junction with a double solid lines separating opposing traffic.,two-lane road with a single solid line separating traffic approaching a roundabout.,multi-lane road with broken center lines leading to a crossroads.,divided highway with a median barrier approaching a T-junction.,narrow road with no lane markings and a side road merging from the right.,"How would you classify the type of collision?""",Accident Type,"Series of T-bone collision where a straightforward-white sedan hit by a dark minivan and lost control, then made a lateral drift, comiitted a T-bone with the blue van ahead the ego-car.",side-swipe collision occurred when the white sedan drifted into the adjacent lane and made contact with the dark minivan before veering off course.,"The blue van initiated a T-bone impact by swerving into the path of the white sedan, causing it to lose control and collide with the ego-car.","rear-end collision took place between the white sedan and the dark minivan, followed by a lateral drift that resulted in a secondary side-impact with the blue van.",The incident involved a single T-bone collision where the white sedan struck the dark minivan directly from the side without any prior loss of control.,What was the primary cause of this accident?,Accident Cause,The white car lost control after the side impact in the intersection,The white car collided with the blue van while attempting to merge into traffic,"The blue van suddenly braked, causing the white car to lose control and crash",The white car was traveling at excessive speed before entering the intersection,The driver of the white car failed to yield to the vehicle approaching from the right,What action could have most likely prevented this collision?,Accident Prevention,The driver of the dark silver seadan stops and checks for oncoming traffic on the main road before proceeding.,The driver of the white minivan yields to traffic on the main road before merging into the lane.,The dark silver sedan accelerates quickly to avoid being hit by the approaching vehicle.,The driver of the blue van slows down and signals before changing lanes to prevent a collision.,The driver of the white minivan should have maintained a safe distance from the vehicle in front to avoid sudden braking.
000193,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Nighttime with moderate lighting and reduced visibility,Overcast skies with diffused sunlight and slight haze,Daytime with partial cloud cover and intermittent shadows,Early morning with low sun angle and glare on the road,What best describes the traffic environment where the accident occurred?,Traffic Environment,n urban road with trees and buildings alongside.,rural highway with open fields and no visible structures,narrow alleyway with parked cars on both sides and limited visibility,busy intersection with traffic lights and multiple lanes of traffic,suburban street with houses and sidewalks but no trees or commercial buildings,What is the configuration of the road where the incident takes place?,Road Configuration,"A multi-lane bend with at least two lanes for traffic moving in the same direction, , approaching a traffic-congest intersection.",straight two-lane road with light traffic approaching a roundabout,single-lane curved road with oncoming traffic in the opposite direction,multi-lane straight road with heavy congestion leading to a pedestrian crossing,narrow urban street with one lane per direction and a stop sign at an intersection,Which of the following best describes the type of accident shown in the video?,Accident Type,A sideswipe collision by the large truck and an in-lane black car,rear-end collision between the large truck and a black car in the same lane,side-swipe collision caused by the black car changing lanes into the truck's path,sideswipe incident where the truck veered into the adjacent lane due to mechanical failure,T-bone collision involving the large truck and a vehicle crossing perpendicular at an intersection,What was the primary cause of this accident?,Accident Cause,The truck merging to the left veered sharply to the right due to an unstable center of gravity.,The truck lost control due to a sudden brake failure while merging.,"The vehicle behind the truck swerved to avoid a collision, causing the accident.","The truck’s load shifted during the turn, leading to instability and loss of control.","The driver failed to signal before changing lanes, resulting in the crash.",How could this accident have most effectively been prevented?,Accident Prevention,"The truck driver should have planned the turn in advance, moved to the rightmost lane, and slowly sped up before turning.",The truck driver should have slowed down earlier and signaled before initiating the turn.,The accident could have been avoided if the car behind had maintained a greater following distance.,The truck driver should have moved to the leftmost lane and accelerated quickly to complete the turn safely.,The driver of the car should have anticipated the truck’s movement and adjusted speed accordingly.
000198,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,Rainy day with wet roads and low visibility,Clear skies with dry pavement and bright daylight,Snowy conditions with icy road surfaces and poor lighting,Overcast weather with dry roads and moderate lighting,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,rural road with minimal traffic and open fields.,highway intersection with high-speed vehicles and limited buildings.,residential neighborhood with parked cars and low traffic volume.,busy commercial district with pedestrians and frequent vehicle stops.,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.","narrow, two-lane road with clear lane markings and traffic signals",roundabout with multiple entry points and visible signage,wide intersection with clearly marked lanes and traffic control devices,single-lane roadway with limited visibility due to parked vehicles on both sides,Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,side-impact collision between the ego-car and a vehicle moving perpendicular to its path,frontal collision caused by the ego-car accelerating into the rear of the front car,rear-end collision initiated by the ego-car hitting the stationary front car,T-bone collision resulting from the front car turning left across the ego-car's path,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,"The bus failed to yield when entering the intersection, causing the minivan to brake suddenly.","The minivan stopped abruptly due to the bus's unexpected appearance, leading to a collision.",The driver of the minivan attempted to turn left without checking for oncoming traffic.,"The road was slippery from rain, reducing traction and increasing the risk of losing control.",Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,The driver of the white car should have slowed down before turning,The black minivan should have yielded after entering the intersection,The driver should have signaled earlier to indicate their intention to turn,The black minivan driver should have checked the side mirrors before proceeding
000199,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daylight conditions with a dry road surface.,Overcast sky with light rain and wet road conditions during the daytime.,"Bright daylight with a dry road surface, but heavy fog reducing visibility.",Partly cloudy weather with intermittent sunlight and a damp road surface.,"Clear skies and good visibility, but the road was covered in ice due to early morning temperatures.",Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A suburban area a mix of passenger cars and commercial trucks.,busy urban intersection with heavy pedestrian and bicycle traffic,rural highway with minimal vehicle presence and no commercial vehicles,commercial zone with predominantly large trucks and limited passenger cars,residential neighborhood with low-speed traffic and parked cars along the sides,What is the physical configuration of the road section seen in the video?,Road Configuration,"A straight, multi-lane roadway with a mix of passenger cars and commercial trucks.","curved, two-lane road with light traffic consisting mainly of passenger vehicles","straight, single-lane roadway with heavy commercial truck traffic and no passenger cars",multi-lane highway with a divided median and mixed traffic flow in both directions,narrow urban street with frequent intersections and parked vehicles along the sides,What is the sequence of events that defines this type of accident?,Accident Type,A head-on collision by the POV car and the car from the opposite,side-swipe collision between the POV car and a vehicle in the adjacent lane,"The POV car veers into the opposite lane, causing a collision with an oncoming vehicle",rear-end collision occurs when the POV car hits the vehicle directly ahead,The car from the opposite direction crosses into the POV car's lane due to road conditions,What was the primary human factor that led to this collision?,Accident Cause,The ego-car swerved into the opposing lane.,The opposing vehicle failed to yield when merging into traffic.,The collision occurred because the ego-car was traveling at a high speed.,The driver of the ego-car attempted to avoid an obstacle by swerving.,"The other driver suddenly accelerated, causing the ego-car to lose control.",What action would have been the most effective way to prevent this accident?,Accident Prevention,The POV driver should merge into the proper lane and not retrograde,The driver should have maintained a safe following distance to avoid sudden braking,The accident could have been prevented if the other vehicle had yielded at the intersection,The POV driver should have signaled before changing lanes to alert surrounding vehicles,The driver should have accelerated quickly to pass the slower vehicle ahead
000202,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime under overcast or cloudy skies with good overall visibility.,Daytime with clear skies and bright sunlight providing excellent visibility,Nighttime with streetlights illuminating the road and moderate visibility,Early morning with foggy conditions reducing visibility despite daylight,Overcast skies during twilight hours with low ambient light and limited visibility,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A suburban multi-lane road with trees and buildings visible on the sides.,rural two-lane road with open fields and no visible buildings on either side.,An urban highway with multiple lanes and high-rise buildings lining both sides of the road.,residential street with parked cars along the curb and trees lining the sidewalk.,construction zone with temporary barriers and workers present near the roadway.,What is the configuration of the road where the incident takes place?,Road Configuration,"A straight, multi-lane, one-way road with clear white lane markings and a shoulder on the right.","curved, two-lane road with dashed yellow center lines and no shoulder on either side","straight, multi-lane road with双向 traffic and solid white lane markings","straight, one-way road with multiple lanes and a sidewalk on the left instead of a shoulder on the right",narrow residential street with only one lane in each direction and faded lane markings,What type of collision occurred?,Accident Type,"A sideswipe collision, occurring when the SUV improperly changed into the hatchback's lane.","rear-end collision, occurring when the hatchback failed to maintain a safe following distance behind the SUV.",side-impact collision caused by the hatchback suddenly swerving into the SUV's lane.,sideswipe collision resulting from the hatchback changing lanes while the SUV was already in motion.,T-bone collision that happened when the SUV turned left across the path of the hatchback.,What was the primary and direct cause of this accident?,Accident Cause,The driver of the silver SUV made an abrupt and unsafe lane change to the right.,The silver SUV was driving at a high speed before the collision occurred.,The black sedan failed to maintain a safe following distance from the vehicle ahead.,The driver of the silver SUV attempted to avoid a pedestrian by swerving into the adjacent lane.,"The accident happened because the road surface was wet and slippery, reducing tire traction.",Which of the following actions  would have been most effective in preventing this collision?,Accident Prevention,"The SUV maintains a safe following distance from the truck ahead, checks of all mirrors and blind spots before initiating the lane change.",The SUV signals its intention to change lanes and accelerates quickly to merge into the adjacent lane.,"The truck ahead suddenly brakes, causing the SUV to collide due to insufficient reaction time.",The SUV checks the side mirror and begins the lane change without verifying the blind spot.,The driver of the SUV maintains a steady speed but fails to notice the vehicle approaching from behind.
000206,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a partly moist road surface.,Daytime with clear skies and a dry road surface,Nighttime with overcast conditions and wet pavement,Daytime with cloudy skies and a fully wet road surface,Morning with foggy visibility and damp road conditions,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,On a rural roadway with high-speed travel.,On a city street with moderate traffic and lower speed limits.,In an urban area where vehicles were moving slowly due to congestion.,On a rural roadway with low-speed travel and limited visibility.,At an intersection in a residential neighborhood with parked cars on both sides.,What is the road configuration at the scene of the collision?,Road Configuration,"A multi-lane street with light traffic, parked cars nearby",two-lane road with moderate traffic and no parked vehicles on the side,narrow residential street with heavy traffic and a crosswalk nearby,"multi-lane street with light traffic, but no parked cars visible on either side",wide urban avenue with multiple lanes and a median divider separating opposing traffic,What type of collision is depicted in the video?,Accident Type,A series of T-bone and a head-on secondary accident.,rear-end collision followed by a side-swipe incident.,head-on collision caused by a vehicle running a red light.,T-bone collision with a secondary side-impact from another car.,single-vehicle accident involving loss of control on a wet road.,"According to the analysis of the vehicles' movements, what was the primary error that initiated the collision sequence?",Accident Cause,The silver car failed to yield the right-of-way while executing a left turn.,The black car accelerated unexpectedly while merging into the lane.,"The silver car was struck after the collision occurred, not before it began.","The driver of the silver car turned left without signaling, but the road was clear.",The white car parked on the side of the road blocked the view for the silver car.,What critical action by the driver of the dark (straight-moving) car could have contributed to preventing the accident or mitigating its severity?,Accident Prevention,"Driving at a lower, more appropriate speed for the wet road conditions.",Maintaining a greater following distance from the vehicle ahead could have reduced the risk of collision.,The driver should have accelerated to avoid the parked vehicle on the right side of the road.,Using high-beam headlights during daylight hours would improve visibility and prevent accidents.,Keeping both hands on the steering wheel at all times ensures better control during sudden maneuvers.
