video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
78,30,6,,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"Daytime,dusk/down with basic light  vercast sky, wet road surface, and snow on the roadside.",,,,n what type of traffic environment did the initial conflict that led to the crash occur?,Traffic Environment,On a rural high-speed highway with no intersections.,,,,What is the configuration of the main road shown in the video,Road Configuration,"A two-way road with multiple lanes, separated by double solid yellow lines.",,,,What was the final and most severe type of collision that occurred as a result?,Accident Type,"A rear-end collision, where the sedan in reverse was hit by the white van.",,,,What was the primary action that initiated the chain of events leading to the collision?,Accident Cause,The driver of the white sedan unsafely blocked the main road and get ou of control,,,,Which action by one of the drivers could have most effectively prevented this entire accident sequence from happening?,Accident Prevention,The sedan should not turn at the highway,,,
83,35,13,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Nighttime or dusk with wet road surfaces and some snow, under ample artificial lighting.",,,,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A busy urban commercial street with multiple lanes, parked cars, and pedestrian activity.",,,,What specific road feature was at the moment of the collision?,Road Configuration,A parallel parking space on the right side of the street.,,,,How would you classify the type of collision shown in the video?,Accident Type,A collision between a reversing vehicle and a parked vehicle,,,,What was the primary cause of this accident?,Accident Cause,The driver failed to control the vehicle while picking up passengers,,,,Which of the following actions would have been the most crucial and effective measure to prevent this specific accident?,Accident Prevention,The front car driver fully stops the vehicle before picking up passengers,,,
87,42,10,,"Based on the visual evidence, what are the prevailing weather and road surface conditions at the time of the incident",Weather & Light,"Daytime and overcast, with significant snow and slush on the road surface, indicating slippery conditions.",,,,What is the status of the traffic control devices for the vehicles approaching the crosswalk,Traffic Environment,"multi-lane, two-way urban arterial road with a marked pedestrian crosswalk.",,,,How can the road where the accident occurred be best described?,Road Configuration,"The traffic light is green, with pedestrians waiting behind the crosswalk.",,,,Which statement accurately classified the event in this accident?,Accident Type,A rear-end collision of the POV car and an emergency-stopped car,,,,What was the most critical and direct cause of the collision?,Accident Cause,"A car strikes a pedestrian in a crosswalk and emergency stopped, resulting in a rear-end crash",,,,Which action would have most effectively prevented this entire incident?,Accident Prevention,Slowing down and preparing to stop upon seeing the pedestrian crossing the road,,,
109,30,8,,"Based on the video, what were the weather and lighting conditions when the event occurred?",Weather & Light,"Daytime, with clear skies and good visibility.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban street with a median strip and buildings,,,,What is the road configuration at the location where the dangerous maneuver occurs?,Road Configuration,An intersection of two multi-lane road ,,,,What type of incident occurred between the ego vehicle and the silver car?,Accident Type,A side-swipe collision caused by the silver car merging too slowly.,,,,What was the primary cause of this dangerous incident?,Accident Cause,The silver car driver made an unsafe and abrupt entry into the lane without yielding the right-of-way.,,,,What action would have most effectively prevented this side-swipe?,Accident Prevention,the silver car's driver turns wider and reduces speed,,,
115,33,6,,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Daytime and cloudy, with a wet road surface and significant puddles.",,,,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,An urban or suburban road with low buildings on the roadside.,,,,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A multi-lane road in poor condition,with parked cars and low traffic volume",,,,What type of incident occurs between the silver station wagon and the white hatchback?,Accident Type,"A T-bone (side-impact) collision, a reversing car was hitted by POV car when trying to park into the position",,,,What is the primary cause of this hazardous incident?,Accident Cause,The POV car's driver failing to reduce speed when approaching the reversingminivan,,,,What was the most direct and appropriate action could have taken to prevent this incident?,Accident Prevention,The POV vehicle should slow down in such condition.,,,
130,32,7,,"Based on the visual evidence, what were the prevailing weather and road conditions at the time of the accident?",Weather & Light,Daytime with an overcast sky and a wet road surface.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural main road with low shed alongside.,,,,What is the configuration of the road on which the accident takes place?,Road Configuration,A  busy intersection of a main highway and two rural road on each side,,,,What type of collision occurred between the silver sedan and the green semi-truck?,Accident Type,"A rear-end collision, where the truck hit the right back of the sedan.",,,,What was the most direct cause of the accident?,Accident Cause,The truck was too fast to avoid the sedan waiting for turn,,,,Which action would have been most effective in preventing this accident?,Accident Prevention,The truck reduces speed in village areas ,,,
136,35,6,,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Snowy daytime with overcast skies and significant snow accumulation on the roadsides.,,,,Which of the following best describes the traffic environment and road surface conditions?,Traffic Environment,"An urban area with multi-lane roads covered in slush and melted snow, creating very slippery conditions.",,,,What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane urban arterial road with at least two lanes per direction,,,,How would you classify the sequence of events leading to the collision?,Accident Type,"A rear-end collision, the POV car hit the front car",,,,What was the most likely primary cause for the incident?,Accident Cause,A sudden turn of the front car to take passenger,,,,What would have been the most effective action to prevent this accident?,Accident Prevention,The front car driver wait for the video car to pass before starting the maneuver.,,,
137,37,6,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"It was a clear, sunny day with a wet road surface causing glare, and snow was present on the roadside.",,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A multi-lane urban main road at an intersection, featuring marked crosswalks.",,,,What is the configuration of the intersection and the likely traffic control for the involved vehicles?,Road Configuration,A signalized intersection with vechcles coming from the opposite and the right side of the POV vechcle.,,,,What type of collision occurred?,Accident Type,"A T-bone (side-impact) collision, where the front vehicle struck the two vehicles from the right side in a row",,,,What was the primary and most direct cause of this accident?,Accident Cause,The driver of the opposite sedan was too fast to get through an intersection before red light,,,,How could this accident have been most effectively prevented?,Accident Prevention,The oppsite sedan slows down in the intersection area,,,
142,30,8,,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with an overcast sky, with wet road surfaces and good visibility.",,,,"""Which of the following best describes the environment where the accident takes place?",Traffic Environment,An urban multi-lane thoroughfare surrounded by high-rise apartment buildings.,,,,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A multi-lane T-junction, with at least three lanes in the same direction, marked by dashed lines.",,,,How can the collision shown in the video be most accurately classified?,Accident Type,"A head-on/T-bone collision, initiated by one vehicle making an abrupt cut-in maneuver in front of another.",,,,"What was the primary, direct cause of this accident?",Accident Cause,The dark car executed a sudden and unsafe left-turn without yielding the right of way.,,,,Which action would have been most effective in preventing this crash?,Accident Prevention,"Checking mirrors and blind spots, using a turn signal, and changing lanes one at a time when clear.",,,
156,33,6,,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and a dry road surface.,,,,Which of the following best describes the immediate environment where the crash happened?,Traffic Environment,A sububan area with construction site on one side,,,,What is the configuration of the road shown in the video?,Road Configuration,A two-directional straight road with high trucks on the road.,,,,What is the direct type of collision that occurs at the end of the video?,Accident Type,A rear-end collision between the ego-car and the front black car.,,,,What caused the  incident?,Accident Cause,The ego-car performed a dangerous lane change without knowing the lane ahead.,,,,Which of the following actions would have most likely prevented this accident?,Accident Prevention,Completing the overtake and merging back safely with adequate space ahead of the truck.,,,
157,43,7,,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with overcast skies and general lighting conditions.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,On a busy urban road near an intersection with an active green traffic light for the straight-through traffic.,,,,What is the configuration of the road where the incident takes place?,Road Configuration,An intersection with 2 multi-lane arterial roads and busy traffic,,,,What type of collision occurs?,Accident Type,"A side-impact (T-bone) collision, where the front of the motorcycle strikes the side of the car.",,,,What was the primary and most direct cause of this accident,Accident Cause,The silver car entered the intersection with a high spped without observing.,,,,Which action would have been the most effective way to prevent this collision?,Accident Prevention,The driver of the silver car should have yielded to straight-through traffic and waited for a safe gap before crossing.,,,
159,32,8,,"Based on the video, what were the environmental and road conditions at the time of the accident?",Weather & Light,Daytime with overcast or cloudy skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban main road with moderate traffic and trees lining the street.,,,,What is the configuration of the road on which the vehicles are traveling?,Road Configuration,"A multi-lane, one-way straight road with a double solid lin as median, moderate traffic.",,,,What was the primary and most direct cause of this accident?,Accident Type,A rean-end coliision.,,,,What was the primary cause of this accident?,Accident Cause,"Due to distraction or losing control, the black car did not brake following the vehicle in front.",,,,Which action would have most likely prevented this crash?,Accident Prevention,Focus on driving and driving significantly slower.,,,
161,32,7,,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane urban road with moderate traffic, including cars, a bus, and a truck.",,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A straight, multi-lane highway with a guardrail on the left.",,,,How would you classify the type of collision that occurs in the video?,Accident Type,A rear-end collision where the sedan hit the truck from behind.,,,,What was the primary cause of this accident?,Accident Cause,The sedan was so fast that no time for reaction when former car stop,,,,Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,The car fully observes taffic environment and focus one driving to react in time,,,
163,34,10,,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban road with buildings and sheds,,,,,Road Configuration,"A straight, muilti-lane bend main road with moderate traffic",,,,ow would you classify the type of collision that occurs in the video?,Accident Type,A sideswipe collision initiated by an improper lane change.,,,,What was the primary cause of this accident?,Accident Cause,The driver of the light-color car failed to yield the right-of-way to oncoming traffic before making a left turn.,,,,Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,The silver car driver should have waited for the oncoming traffic to clear before starting the left turn.,,,
166,30,7,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",,,,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A suburban arterial road with multiple lanes, low residential properties",,,,What's the road configuration when crash happened,Road Configuration,"A highway bend with a secondary road exit on the right, which is quite crowded and has low traffic on the main road. There is a railway bridge above.",,,,What is the most accurate classification of this traffic incident?,Accident Type,A severe haed-on collison,,,,"What was the primary, initiating cause of this hazardous situation?",Accident Cause,"The opposite, dark SUV was too fast and outof control",,,,"To avoid such accident, what should one of the drivers do?",Accident Prevention,"The SUV should slow down in bend area, ensure the vehicle is in good condition before driving",,,
167,30,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Dusk/dawn with good visibility and a dry road surface."",",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway in suburban area,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"It is a straight, one-way highway with at least three marked lanes with moderate traffic flow and a solid barrier on the left side.",,,,What type of accident is about to occur in the video?,Accident Type,A serial accident consists of a T-bone collision by the car that lost control after committing a rear-end collision.,,,,What are the primary contributing factors that led to this collision?,Accident Cause,The silver sedan changed lanes so fast and failed to brake afterward,,,,What would have been the most crucial action to prevent this accident?,Accident Prevention,The sedan should brake when changing lanes,,,
177,30,13,,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.",,,,What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,,,,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,,,,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,,,,What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,,,
179,30,10,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy day with an overcast sky and a dry road surface.,,,,Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,A suburban multi-lane arterial road with moderate traffic.,,,,What is the road layout at the location of the initial collision?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a double solid line.",,,,How can the sequence of collisions in this accident be most accurately described?,Accident Type,A T-bone collision during a right turn.,,,,What was the primary human error that led to this accident?,Accident Cause,The truck driver changed lanes without properly checking the large blind spot on the vehicle's right side.,,,,Which action would have been most effective in preventing this entire sequence of events?,Accident Prevention,Performing a thorough visual check of all mirrors and blind spots before initiating the lane change.,,,
181,30,9,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A nomal dusk with good visibility,,,,Which of the following best describes the traffic environment where the accident happened?,Traffic Environment,"An urban area with multi-story buildings, trees, and commercial billboards.",,,,What is the road configuration at the accident location,Road Configuration,"A multi-lane main road with a marked crosswalk, approaching a signalized intersection.",,,,What type of collision occurred between the two vehicles?,Accident Type,"A series of T-bone collisions, the silver car was hit by two vehicles going straight",,,,What was the primary cause of this accident?,Accident Cause,"The silver car made an abrupt, unsignaled, and sharp turn across an occupied lane of traffic.",,,,How could this accident have most likely been prevented?,Accident Prevention,"The driver of the silver car should have checked mirrors/blind spots, signaled, and only changed lanes when it was safe to do so.",,,
182,30,9,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy skies with dry road surfaces.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,At suburban intersection with active traffic signals.,,,,What is the configuration of the road where the accident took place?,Road Configuration,A busy signalized multi-lane intersection.,,,,What type of collision occurred between the truck and the SUV?,Accident Type,A side-impact (T-bone) collision where the front of the van hit the side of the minivan.,,,,What was the primary and direct cause of this accident?,Accident Cause,The red van driver failed to stop at a red traffic light and entered the intersection.,,,,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The red minivan waits for a safe and clear gap in traffic before entering and crossing the main road.,,,
185,30,8,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,,,,What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,,,,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,,,,What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,,,,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,,,
187,30,7,,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daytime, with clear skies and dry road surfaces.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road roadway with moderate traffic.,,,,What is the road configuration at the location of the incident?,Road Configuration,A straight segment of a multi-lane road.,,,,How should the collision between the silver sedan and the blue hatchback be classified?,Accident Type,A side-impact (T-bone) collision.,,,,What was the primary critical error that led to this collision?,Accident Cause,The silver sedan failed to yield the right-of-way to through traffic.,,,,What action would have been the most effective way to prevent this accident?,Accident Prevention,The driver of the silver sedan waits for a safe and clear gap in traffic before attempting to cross or enter the lane.,,,
188,30,9,,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was a rainy day, and the road surface was wet.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area characterized by high-rise residential buildings.,,,,What is the road configuration at the location of the incident?,Road Configuration,A multi-lane urban road approaching an intersection with traffic lights.,,,,What type of collision occurred between the red car and the silver one?,Accident Type,"A head-on collision, where the two vehicles hit front to front.",,,,What was the direct and primary cause of the collision?,Accident Cause,The silver car drived into the opposite lane,,,,ow could one of the drivers do to prevent this accident effectively,Accident Prevention,The silver sedan focuses on driving while turning.,,,
190,30,10,,"Based on the visual information, what were the weather and lighting conditions at the time of the incident?",Weather & Light,It was daytime with clear weather and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,The scene takes place on a multi-lane urban road.,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"A multi-lane road, moderate traffic flow, approaching a signalized intersection with a crosswalk.",,,,How would you classify the type of accident that occurs in the video?,Accident Type,A severe head-on collision in the left lane.,,,,What was the primary cause of this collision?,Accident Cause,The opposite white car entered the wrong lane,,,Which action by the taxi driver could have most effectively prevented this incident?,Which action could have most effectively prevented this incident?,Accident Prevention,The oppsite car slows down and observes the road sign carefully.,,,
191,30,6,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was a near-dusk time with dry road.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An rural road with moderate traffic flow and surrounded by woods ,,,,What is the configuration of the main road on which the blue van was traveling?,Road Configuration,A multi-lane road approaching a T-junction with a double solid lines separating opposing traffic.,,,,"How would you classify the type of collision?""",Accident Type,"Series of T-bone collision where a straightforward-white sedan hit by a dark minivan and lost control, then made a lateral drift, comiitted a T-bone with the blue van ahead the ego-car.",,,,What was the primary cause of this accident?,Accident Cause,The white car lost control after the side impact in the intersection,,,,What action could have most likely prevented this collision?,Accident Prevention,The driver of the dark silver seadan stops and checks for oncoming traffic on the main road before proceeding.,,,
193,30,7,,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,What best describes the traffic environment where the accident occurred?,Traffic Environment,n urban road with trees and buildings alongside.,,,,What is the configuration of the road where the incident takes place?,Road Configuration,"A multi-lane bend with at least two lanes for traffic moving in the same direction, , approaching a traffic-congest intersection.",,,,Which of the following best describes the type of accident shown in the video?,Accident Type,A sideswipe collision by the large truck and an in-lane black car,,,,What was the primary cause of this accident?,Accident Cause,The truck merging to the left veered sharply to the right due to an unstable center of gravity.,,,,How could this accident have most effectively been prevented?,Accident Prevention,"The truck driver should have planned the turn in advance, moved to the rightmost lane, and slowly sped up before turning.",,,
198,30,9,,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,,,,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,,,,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.",,,,Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,,,,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,,,,Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,,,
199,30,7,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daylight conditions with a dry road surface.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A suburban area a mix of passenger cars and commercial trucks.,,,,What is the physical configuration of the road section seen in the video?,Road Configuration,"A straight, multi-lane roadway with a mix of passenger cars and commercial trucks.",,,,What is the sequence of events that defines this type of accident?,Accident Type,A head-on collision by the POV car and the car from the opposite,,,,What was the primary human factor that led to this collision?,Accident Cause,The ego-car swerved into the opposing lane.,,,,What action would have been the most effective way to prevent this accident?,Accident Prevention,The POV driver should merge into the proper lane and not retrograde,,,
