video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2
000078,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"Daytime,dusk/down with basic light  vercast sky, wet road surface, and snow on the roadside.","Daytime, overcast sky, dry road surface, and no visible snow on the roadside.","Dusk, cloudy sky, wet road surface, and ice patches on the shoulders.",n what type of traffic environment did the initial conflict that led to the crash occur?,Traffic Environment,On a rural high-speed highway with no intersections.,On a suburban road with multiple intersections and traffic signals.,In a high-speed urban expressway with frequent merging lanes.,What is the configuration of the main road shown in the video,Road Configuration,"A two-way road with multiple lanes, separated by double solid yellow lines.","two-way road with multiple lanes, separated by a single yellow dashed line.",one-way road with multiple lanes and a solid white line dividing the traffic flow.,What was the final and most severe type of collision that occurred as a result?,Accident Type,"A rear-end collision, where the sedan in reverse was hit by the white van.",side-swipe collision between the sedan and the white van as they traveled in adjacent lanes.,head-on collision involving the sedan and an oncoming vehicle at a crossroad intersection.,What was the primary action that initiated the chain of events leading to the collision?,Accident Cause,The driver of the white sedan unsafely blocked the main road and get ou of control,The driver of the white sedan attempted to merge into traffic without signaling,vehicle in the opposite lane suddenly turned left across the center line,Which action by one of the drivers could have most effectively prevented this entire accident sequence from happening?,Accident Prevention,The sedan should not turn at the highway,The sedan should have maintained a safe following distance behind the van,The truck should have avoided changing lanes too abruptly
000083,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Nighttime or dusk with wet road surfaces and some snow, under ample artificial lighting.","Daytime with clear skies and dry road surfaces, under natural sunlight.","Early morning with light fog and icy patches, illuminated by streetlights and vehicle headlights.",Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A busy urban commercial street with multiple lanes, parked cars, and pedestrian activity.","residential neighborhood with low traffic, single-family homes, and minimal pedestrian presence.","highway interchange with multiple entry and exit ramps, high-speed traffic, and limited roadside activity.",What specific road feature was at the moment of the collision?,Road Configuration,A parallel parking space on the right side of the street.,perpendicular parking space on the right side of the street.,designated bike lane on the right side of the street.,How would you classify the type of collision shown in the video?,Accident Type,A collision between a reversing vehicle and a parked vehicle,collision between a vehicle and a pedestrian in a crosswalk,rear-end collision between two moving vehicles on a city street,What was the primary cause of this accident?,Accident Cause,The driver failed to control the vehicle while picking up passengers,The driver was distracted by a phone call while driving,The vehicle collided with a pedestrian crossing the street,Which of the following actions would have been the most crucial and effective measure to prevent this specific accident?,Accident Prevention,The front car driver fully stops the vehicle before picking up passengers,The driver maintains a safe distance from the vehicle ahead while moving slowly,The passenger exits the vehicle safely without opening the door into traffic
000087,"Based on the visual evidence, what are the prevailing weather and road surface conditions at the time of the incident",Weather & Light,"Daytime and overcast, with significant snow and slush on the road surface, indicating slippery conditions.","Daytime and cloudy, with wet pavement from recent rain, suggesting reduced traction.","Early morning with light fog and icy patches on the road surface, creating hazardous driving conditions.",What is the status of the traffic control devices for the vehicles approaching the crosswalk,Traffic Environment,"multi-lane, two-way urban arterial road with a marked pedestrian crosswalk.","single-lane, one-way road with a pedestrian crossing but no traffic signals",multi-lane urban street with a crosswalk and traffic lights showing red for oncoming vehicles,How can the road where the accident occurred be best described?,Road Configuration,"The traffic light is green, with pedestrians waiting behind the crosswalk.","The traffic light is red, with pedestrians crossing the street.","The road is icy and wet, with vehicles driving slowly in both directions.",Which statement accurately classified the event in this accident?,Accident Type,A rear-end collision of the POV car and an emergency-stopped car,side-impact collision between the POV car and a vehicle stopped at the curb,frontal collision involving the POV car and a moving vehicle ahead,What was the most critical and direct cause of the collision?,Accident Cause,"A car strikes a pedestrian in a crosswalk and emergency stopped, resulting in a rear-end crash","car suddenly swerves to avoid a pedestrian on the sidewalk, causing a collision with a vehicle in the adjacent lane","vehicle fails to yield at a crosswalk, leading to a frontal impact with a pedestrian and subsequent chain reaction",Which action would have most effectively prevented this entire incident?,Accident Prevention,Slowing down and preparing to stop upon seeing the pedestrian crossing the road,Maintaining a safe following distance from the vehicle ahead,Yielding to pedestrians at the crosswalk after the traffic light turned green
000109,"Based on the video, what were the weather and lighting conditions when the event occurred?",Weather & Light,"Daytime, with clear skies and good visibility.","Daytime, with light cloud cover and moderate visibility.","Early evening, with fading sunlight and reduced visibility.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban street with a median strip and buildings,wide suburban road with minimal traffic and open fields on both sides,two-lane city street with parked cars along the curbs and no median strip,What is the road configuration at the location where the dangerous maneuver occurs?,Road Configuration,An intersection of two multi-lane road,T-intersection with a single-lane road merging into a multi-lane roadway,roundabout with multiple entry and exit points,What type of incident occurred between the ego vehicle and the silver car?,Accident Type,A side-swipe collision caused by the silver car merging too slowly.,rear-end collision occurred when the ego vehicle failed to maintain a safe distance from the silver car.,T-bone collision happened as the silver car turned left into the path of the ego vehicle.,What was the primary cause of this dangerous incident?,Accident Cause,The silver car driver made an unsafe and abrupt entry into the lane without yielding the right-of-way.,"The red van failed to maintain a safe distance from the vehicle ahead, leading to sudden braking.","The black car driver attempted to change lanes without using the turn signal, causing confusion in traffic flow.",What action would have most effectively prevented this side-swipe?,Accident Prevention,the silver car's driver turns wider and reduces speed,the silver car's driver maintains a steady speed and stays in the center of the lane,the red bus accelerates to clear the intersection before the silver car turns
000115,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Daytime and cloudy, with a wet road surface and significant puddles.","Daytime and overcast, with a dry road surface and no visible standing water.","Early morning with light fog, and the road was partially wet with small puddles.",Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,An urban or suburban road with low buildings on the roadside.,rural road with open fields and minimal roadside structures.,busy highway with multiple lanes and high-speed traffic.,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A multi-lane road in poor condition,with parked cars and low traffic volume",narrow two-lane road with good pavement and moderate traffic flow,multi-lane road in fair condition with no parked vehicles and high traffic volume,What type of incident occurs between the silver station wagon and the white hatchback?,Accident Type,"A T-bone (side-impact) collision, a reversing car was hitted by POV car when trying to park into the position","rear-end collision, where the silver station wagon struck the white hatchback from behind while both vehicles were moving forward","sideswipe collision, occurring when the silver station wagon passed alongside the white hatchback and made lateral contact during parallel driving",What is the primary cause of this hazardous incident?,Accident Cause,The POV car's driver failing to reduce speed when approaching the reversingminivan,The minivan driver failing to check blind spots before reversing,The POV car's driver misjudging the distance to the parked vehicles on the right,What was the most direct and appropriate action could have taken to prevent this incident?,Accident Prevention,The POV vehicle should slow down in such condition.,The driver should have maintained a greater following distance from the vehicle ahead.,The other vehicle should have avoided making an abrupt lane change in wet conditions.
000130,"Based on the visual evidence, what were the prevailing weather and road conditions at the time of the accident?",Weather & Light,Daytime with an overcast sky and a wet road surface.,Daytime with a clear sky and a dry road surface.,Early morning with foggy conditions and a damp road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural main road with low shed alongside.,suburban road with commercial buildings on both sides,An urban intersection with traffic lights and pedestrian crossings,What is the configuration of the road on which the accident takes place?,Road Configuration,A  busy intersection of a main highway and two rural road on each side,straight stretch of a two-lane highway with no side roads visible,T-shaped intersection where a rural road meets a main highway at a right angle,What type of collision occurred between the silver sedan and the green semi-truck?,Accident Type,"A rear-end collision, where the truck hit the right back of the sedan.","side-swipe collision, where the sedan was struck on its left side by the truck.","T-bone collision, where the truck hit the sedan perpendicularly at an intersection.",What was the most direct cause of the accident?,Accident Cause,The truck was too fast to avoid the sedan waiting for turn,The sedan suddenly turned without signaling,The truck failed to maintain a safe following distance,Which action would have been most effective in preventing this accident?,Accident Prevention,The truck reduces speed in village areas,The car maintains a safe distance from the vehicle ahead,The driver avoids sudden lane changes in heavy traffic
000136,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Snowy daytime with overcast skies and significant snow accumulation on the roadsides.,Snowy daytime with clear skies and light snow accumulation on the roadside shoulders.,Overcast daytime with wet pavement and no visible snow on the road edges.,Which of the following best describes the traffic environment and road surface conditions?,Traffic Environment,"An urban area with multi-lane roads covered in slush and melted snow, creating very slippery conditions.","An urban area with multi-lane roads partially covered in snow, but with dry patches providing moderate traction.","suburban road with two lanes and icy conditions due to recent freezing rain, causing hazardous driving.",What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane urban arterial road with at least two lanes per direction,two-lane rural highway with no median separation,divided urban road with only one lane per direction,How would you classify the sequence of events leading to the collision?,Accident Type,"A rear-end collision, the POV car hit the front car","side-impact collision, the POV car struck the passenger side of the front vehicle","T-bone collision, the front car was hit at a right angle by the POV car",What was the most likely primary cause for the incident?,Accident Cause,A sudden turn of the front car to take passenger,The front car suddenly accelerated to overtake another vehicle,pedestrian stepped into the roadway from the sidewalk,What would have been the most effective action to prevent this accident?,Accident Prevention,The front car driver wait for the video car to pass before starting the maneuver.,The video car should have slowed down to avoid sudden braking.,The front car driver should have signaled earlier before changing lanes.
000137,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"It was a clear, sunny day with a wet road surface causing glare, and snow was present on the roadside.","It was a cloudy day with heavy rain and poor visibility, and the road surface was dry.","The weather was clear with bright sunlight, but the road was dry and there was no snow on the roadside.",Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A multi-lane urban main road at an intersection, featuring marked crosswalks.",two-lane residential street with no marked crosswalks and minimal traffic signals.,"highway interchange with multiple lanes and overhead signage, lacking pedestrian crossings.",What is the configuration of the intersection and the likely traffic control for the involved vehicles?,Road Configuration,A signalized intersection with vechcles coming from the opposite and the right side of the POV vechcle.,roundabout intersection with vehicles approaching from the left and front of the POV vehicle.,An uncontrolled intersection with vehicles coming from the opposite direction and a pedestrian crossing.,What type of collision occurred?,Accident Type,"A T-bone (side-impact) collision, where the front vehicle struck the two vehicles from the right side in a row","rear-end collision, where the front vehicle struck the two vehicles from behind in a row","side-swipe collision, where two vehicles traveling in the same direction made lateral contact on the roadway",What was the primary and most direct cause of this accident?,Accident Cause,The driver of the opposite sedan was too fast to get through an intersection before red light,The sedan failed to yield to the pedestrian crossing the intersection,The driver of the sedan was distracted by a mobile phone while approaching the intersection,How could this accident have been most effectively prevented?,Accident Prevention,The oppsite sedan slows down in the intersection area,The sedan maintains a safe distance from the vehicle ahead,The pedestrian crosses the street at a marked crosswalk
000142,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with an overcast sky, with wet road surfaces and good visibility.","Daytime with a clear sky, dry road surfaces, and moderate visibility.","Early morning with foggy conditions, damp pavement, and reduced visibility.","""Which of the following best describes the environment where the accident takes place?",Traffic Environment,An urban multi-lane thoroughfare surrounded by high-rise apartment buildings.,suburban road with low-rise commercial buildings and wide shoulders.,busy intersection in a dense city center with multiple traffic signals and pedestrians.,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A multi-lane T-junction, with at least three lanes in the same direction, marked by dashed lines.","multi-lane intersection with traffic signals and vehicles moving in multiple directions, including perpendicular lanes.","two-way road with a central divider and opposing traffic flows, marked by solid lines.",How can the collision shown in the video be most accurately classified?,Accident Type,"A head-on/T-bone collision, initiated by one vehicle making an abrupt cut-in maneuver in front of another.",rear-end collision caused by a vehicle failing to maintain a safe following distance.,side-swipe collision resulting from two vehicles traveling in the same direction and drifting into adjacent lanes.,"What was the primary, direct cause of this accident?",Accident Cause,The dark car executed a sudden and unsafe left-turn without yielding the right of way.,The black car failed to maintain a safe following distance while approaching the intersection.,The driver of the dark car attempted to merge into traffic without signaling properly.,Which action would have been most effective in preventing this crash?,Accident Prevention,"Checking mirrors and blind spots, using a turn signal, and changing lanes one at a time when clear.",Maintaining a safe following distance and avoiding sudden braking when approaching intersections.,Using turn signals consistently and checking blind spots before merging into adjacent lanes.
000156,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and a dry road surface.,Overcast conditions with moderate cloud cover and a dry road surface.,Bright daylight with good visibility but a wet road surface due to recent rain.,Which of the following best describes the immediate environment where the crash happened?,Traffic Environment,A sububan area with construction site on one side,residential neighborhood with parked cars along the street,An industrial zone with warehouses and loading docks on both sides,What is the configuration of the road shown in the video?,Road Configuration,A two-directional straight road with high trucks on the road.,one-way road with multiple trucks traveling in the same direction.,two-lane road with a central divider and light traffic.,What is the direct type of collision that occurs at the end of the video?,Accident Type,A rear-end collision between the ego-car and the front black car.,side collision between the ego-car and a vehicle entering from the left side of the road.,frontal collision between the ego-car and the truck ahead due to sudden braking.,What caused the  incident?,Accident Cause,The ego-car performed a dangerous lane change without knowing the lane ahead.,The ego-car failed to maintain a safe following distance behind the truck ahead.,sudden emergence of a pedestrian from the side caused the driver to swerve abruptly.,Which of the following actions would have most likely prevented this accident?,Accident Prevention,Completing the overtake and merging back safely with adequate space ahead of the truck.,Maintaining a safe following distance behind the truck without attempting to overtake.,Signaling early and checking blind spots before initiating the lane change.
