video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
000156,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and a dry road surface.,Overcast daylight with moderate visibility and a wet road surface.,Bright sunlight with partial cloud cover and a dry road surface.,Clear morning light with good visibility but a slightly damp road surface.,Which of the following best describes the immediate environment where the crash happened?,Traffic Environment,A sububan area with construction site on one side,residential neighborhood with parked cars along the roadside,An industrial zone with warehouses and metal fencing on both sides,commercial area with a gas station and retail signs visible nearby,What is the configuration of the road shown in the video?,Road Configuration,A two-directional straight road with high trucks on the road.,one-way straight road with multiple trucks traveling in the same direction.,two-lane road with a median divider and light traffic in both directions.,"straight road with high trucks on the road, but only single-directional traffic flow.",What is the direct type of collision that occurs at the end of the video?,Accident Type,A rear-end collision between the ego-car and the front black car.,side collision between the ego-car and a vehicle entering from the left intersection,front-end collision between the ego-car and a stationary truck at a stoplight,rear-end collision involving the ego-car and a white sedan that stopped abruptly ahead,What caused the  incident?,Accident Cause,The ego-car performed a dangerous lane change without knowing the lane ahead.,The ego-car failed to yield at the intersection due to misjudging the timing of the traffic light.,vehicle from the side lane suddenly merged into the ego-car's path without signaling.,The ego-car changed lanes safely but was struck by a distracted driver approaching from behind.,Which of the following actions would have most likely prevented this accident?,Accident Prevention,Completing the overtake and merging back safely with adequate space ahead of the truck.,Maintaining a safe following distance behind the truck without attempting to overtake.,Slowing down and yielding to the truck while staying in the same lane.,Initiating the overtaking maneuver earlier but completing it only after passing the intersection.
000157,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with overcast skies and general lighting conditions.,Early evening with clear skies and low ambient lighting,Daytime with partly cloudy conditions and bright sunlight,Twilight with scattered clouds and streetlights beginning to illuminate the scene,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,On a busy urban road near an intersection with an active green traffic light for the straight-through traffic.,"On a multi-lane urban road with moderate traffic flow and a pedestrian crossing nearby, but no visible traffic signals.",At a busy intersection during peak hours where vehicles are turning left under a yellow traffic light.,"On a wide city street near a commercial area with active traffic lights, but the collision occurs after the light has turned red for straight-through traffic.",What is the configuration of the road where the incident takes place?,Road Configuration,An intersection with 2 multi-lane arterial roads and busy traffic,"An intersection with one arterial road and one local street, featuring moderate traffic",multi-lane arterial road with no cross traffic and light vehicle flow,T-intersection with two lanes in each direction and heavy pedestrian activity,What type of collision occurs?,Accident Type,"A side-impact (T-bone) collision, where the front of the motorcycle strikes the side of the car.","rear-end collision, where the motorcycle strikes the back of the car.","head-on collision, where the front of the motorcycle hits the front of the car.","side-swipe collision, where the motorcycle grazes the side of the car while traveling in the same direction.",What was the primary and most direct cause of this accident,Accident Cause,The silver car entered the intersection with a high spped without observing.,"The black car turned left without signaling, causing a sudden lane change.",The motorcycle rider failed to maintain a safe distance from the vehicles ahead.,The silver car entered the intersection after the light turned yellow but did not slow down.,Which action would have been the most effective way to prevent this collision?,Accident Prevention,The driver of the silver car should have yielded to straight-through traffic and waited for a safe gap before crossing.,The driver of the blue car should have slowed down to allow the silver car to enter the intersection safely.,The motorcycle rider should have checked for cross traffic before proceeding through the intersection.,The silver car could have turned left earlier to avoid conflicting with oncoming vehicles.
000159,"Based on the video, what were the environmental and road conditions at the time of the accident?",Weather & Light,Daytime with overcast or cloudy skies and a dry road surface.,Daytime with clear skies and a wet road surface,Early morning with foggy conditions and dry pavement,Overcast skies during nighttime with a dry road surface,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban main road with moderate traffic and trees lining the street.,multi-lane highway with heavy traffic and no visible trees along the sides.,narrow residential street with light traffic and parked cars on both sides.,"busy urban intersection with multiple lanes and traffic signals, surrounded by buildings and pedestrians.",What is the configuration of the road on which the vehicles are traveling?,Road Configuration,"A multi-lane, one-way straight road with a double solid lin as median, moderate traffic.","multi-lane, two-way straight road with a dashed center line and light traffic","single-lane, one-way road with a solid median barrier and heavy congestion","multi-lane, one-way road with a double solid line as median but with high-speed traffic flow",What was the primary and most direct cause of this accident?,Accident Type,A rean-end coliision.,side-swipe collision between two vehicles in adjacent lanes.,T-bone collision at a merging traffic point.,"The vehicle ahead suddenly braking, leading to a rear-end incident.",What was the primary cause of this accident?,Accident Cause,"Due to distraction or losing control, the black car did not brake following the vehicle in front.",The black car failed to maintain a safe distance and collided with the vehicle in front due to sudden braking.,"The white car swerved into the adjacent lane, causing the black car to lose control and crash.",The black car braked suddenly but did not collide with the vehicle ahead because it was already slowing down.,Which action would have most likely prevented this crash?,Accident Prevention,Focus on driving and driving significantly slower.,Stay on the road and maintain a safe following distance.,Drive at the posted speed limit and avoid sudden maneuvers.,Use turn signals when changing lanes and stay alert to surrounding vehicles.
000161,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Early morning with low sunlight and hazy conditions.,Daytime with clear skies but reduced visibility due to dust.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane urban road with moderate traffic, including cars, a bus, and a truck.","single-lane road with light traffic, including a few cars and a bus.","highway with heavy traffic, featuring multiple trucks and high-speed vehicles.","multi-lane urban road with light traffic, primarily consisting of cars and a bus.",What is the configuration of the road where the accident occurs?,Road Configuration,"A straight, multi-lane highway with a guardrail on the left.","curved, two-lane road with a guardrail on the right side","straight, single-lane road with no visible guardrails",multi-lane highway with a guardrail on the right and a median divider,How would you classify the type of collision that occurs in the video?,Accident Type,A rear-end collision where the sedan hit the truck from behind.,side-impact collision where the sedan struck the truck's left side,head-on collision between the sedan and the truck in the same lane,rear-end collision where the sedan hit the truck from the front,What was the primary cause of this accident?,Accident Cause,The sedan was so fast that no time for reaction when former car stop,"The sedan failed to maintain a safe distance from the vehicle ahead, leading to a collision","The silver car suddenly changed lanes without signaling, causing the accident",The driver of the sedan was distracted by a phone call and did not notice the stop in traffic,Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,The car fully observes taffic environment and focus one driving to react in time,The driver maintained a safe distance from the vehicle ahead and avoided sudden braking,"The car changed lanes smoothly without signaling, allowing for better traffic flow",The driver focused on the side mirror to monitor blind spots while accelerating
000163,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and reduced visibility,Early morning with light fog and moderate lighting,Nighttime with streetlights on and limited visibility,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban road with buildings and sheds,multi-lane road with residential buildings and a construction site fence,narrow urban street with parked cars and small commercial structures,wide highway with multiple lanes and distant high-rise buildings,,,,,,,ow would you classify the type of collision that occurs in the video?,Accident Type,A sideswipe collision initiated by an improper lane change.,rear-end collision caused by a sudden stop in traffic.,T-bone collision resulting from a vehicle failing to yield at an intersection.,sideswipe collision initiated by a driver merging without signaling.,What was the primary cause of this accident?,Accident Cause,The driver of the light-color car failed to yield the right-of-way to oncoming traffic before making a left turn.,The driver of the dark-color car failed to maintain a safe following distance while approaching the intersection.,The light-color car was turning right and collided with a vehicle that was already in the intersection.,"The driver of the light-color car began the left turn without checking for oncoming traffic, but had the right-of-way due to the traffic signal.",Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,The silver car driver should have waited for the oncoming traffic to clear before starting the left turn.,The silver car driver should have signaled earlier to indicate the intention to turn left.,The oncoming vehicle should have slowed down to allow the silver car to complete the turn.,The silver car driver could have accelerated quickly to finish the turn before the oncoming traffic arrived.
000166,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",It was a partly cloudy day with moderate sunlight and a dry road surface.,"There was light rain falling, reducing visibility slightly, but the road remained mostly dry.","The weather was clear with bright sunlight, but the road surface was wet from earlier rainfall.",Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A suburban arterial road with multiple lanes, low residential properties",multi-lane urban highway with commercial buildings and heavy traffic,rural two-lane road with open fields and minimal structures,suburban arterial road with multiple lanes and commercial developments,What's the road configuration when crash happened,Road Configuration,"A highway bend with a secondary road exit on the right, which is quite crowded and has low traffic on the main road. There is a railway bridge above.","highway intersection with a roundabout on the left and moderate traffic on both main and secondary roads, featuring an overhead pedestrian bridge.","straight multi-lane road with a side entrance on the left, light traffic, and a railway bridge in the distance.","curved roadway with a secondary road merging from the right, heavy traffic on the main road, and a railway bridge above.",What is the most accurate classification of this traffic incident?,Accident Type,A severe haed-on collison,head-on collision involving a truck and a sedan,rear-end collision caused by sudden braking,side-swipe incident between two vehicles in adjacent lanes,"What was the primary, initiating cause of this hazardous situation?",Accident Cause,"The opposite, dark SUV was too fast and outof control",The dark SUV failed to yield at the intersection and entered the path of oncoming traffic,The driver of the white sedan misjudged the speed of the approaching vehicle and turned too early,"The truck in front braked suddenly, causing a chain reaction that led to the collision","To avoid such accident, what should one of the drivers do?",Accident Prevention,"The SUV should slow down in bend area, ensure the vehicle is in good condition before driving",The SUV should maintain a safe distance from the vehicle ahead and avoid sudden lane changes,The driver should increase speed to pass the truck quickly before entering the curve,The driver should check the rearview mirror frequently and signal when changing lanes
000167,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Dusk/dawn with good visibility and a dry road surface."",",Daytime with moderate visibility and a wet road surface,Early morning with low visibility due to fog and dry pavement,Dawn with good visibility but a partially wet road surface,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway in suburban area,multi-lane highway in an urban area,two-lane road with light traffic in a rural setting,divided highway with multiple lanes and commercial signage along the side,What is the configuration of the road where the incident occurs?,Road Configuration,"It is a straight, one-way highway with at least three marked lanes with moderate traffic flow and a solid barrier on the left side.","It is a straight, two-way highway with multiple lanes and light traffic flow, separated by a dashed median barrier.","It is a curved, one-way road with two marked lanes and moderate traffic, featuring a grassy shoulder on the left side.","It is a straight, one-way highway with three marked lanes and moderate traffic, but with a broken barrier on the left side.",What type of accident is about to occur in the video?,Accident Type,A serial accident consists of a T-bone collision by the car that lost control after committing a rear-end collision.,"rear-end collision occurs when the vehicle in front suddenly brakes, causing the following car to collide from behind.",side-swipe collision happens when two vehicles traveling in the same direction make lateral contact due to lane drifting.,"T-bone collision is about to happen after a vehicle loses control and veers into the path of another car, but no prior rear-end incident is involved.",What are the primary contributing factors that led to this collision?,Accident Cause,The silver sedan changed lanes so fast and failed to brake afterward,The black SUV swerved suddenly to avoid a vehicle in the adjacent lane,The silver sedan was traveling at a high speed but maintained proper following distance,The driver of the silver sedan attempted to brake but failed to notice the vehicle ahead in time,What would have been the most crucial action to prevent this accident?,Accident Prevention,The sedan should brake when changing lanes,The sedan should have signaled before changing lanes,The sedan should maintain a safe following distance,The sedan should accelerate to avoid the collision
000177,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",Overcast skies with moderate sunlight during the morning hours.,Light rain and reduced visibility in the early afternoon.,Bright daylight but with partial cloud cover and scattered shadows.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.",suburban road with moderate traffic and wide lanes.,highway with multiple lanes and high-speed vehicles.,An urban road with sparse traffic and frequent stops.,What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,curved multi-lane road with faded lane markings,straight two-lane road with no visible lane dividers,multi-lane highway with clearly marked lanes and a median divider,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,side-swipe collision where the POV car hits the vehicle next to it,T-bone collision where the POV car is struck by a vehicle from the side,rear-end collision where the vehicle ahead hits the POV car,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,"The vehicle ahead suddenly braked without warning, causing the collision.",The POV driver was distracted by a mobile device while operating the vehicle.,"The lead vehicle made an abrupt lane change, resulting in the rear-end impact.",What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,POV driver should have changed lanes to avoid the vehicle braking suddenly ahead.,The driver in front could have signaled earlier to indicate their intention to slow down.,POV driver should have accelerated slightly to maintain a steady speed and avoid rear-end collision.
000179,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy day with an overcast sky and a dry road surface.,Partly sunny with light rain and a wet road surface,Overcast sky with low visibility due to fog and dry pavement,Cloudy weather with scattered sunlight and a damp road surface,Which of the following best describes the traffic environment where the incident occurs?,Traffic Environment,A suburban multi-lane arterial road with moderate traffic.,rural two-lane road with light traffic and open surroundings,An urban highway with multiple lanes and heavy congestion,city intersection with traffic signals and pedestrian crossings,What is the road layout at the location of the initial collision?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a double solid line.","two-way road with a single solid line separating traffic in opposite directions, allowing for lane changes.",multi-lane highway with a divided median and traffic flowing in both directions.,"two-way road with two lanes in each direction, separated by a dashed center line indicating passing is permitted.",How can the sequence of collisions in this accident be most accurately described?,Accident Type,A T-bone collision during a right turn.,side-swipe collision during a left turn.,rear-end collision caused by sudden braking.,T-bone collision during a left turn.,What was the primary human error that led to this accident?,Accident Cause,The truck driver changed lanes without properly checking the large blind spot on the vehicle's right side.,The truck driver failed to maintain a safe following distance while driving in heavy traffic.,"The car in the adjacent lane suddenly accelerated, causing the truck to swerve unexpectedly.",The truck driver attempted to change lanes but did not signal properly before doing so.,Which action would have been most effective in preventing this entire sequence of events?,Accident Prevention,Performing a thorough visual check of all mirrors and blind spots before initiating the lane change.,Checking the side mirrors only after completing the lane change,Maintaining a safe following distance from the vehicle ahead,Using the turn signal before changing lanes but not checking blind spots
000181,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A nomal dusk with good visibility,cloudy evening with reduced visibility,bright afternoon with clear skies,rainy dusk with moderate lighting,Which of the following best describes the traffic environment where the accident happened?,Traffic Environment,"An urban area with multi-story buildings, trees, and commercial billboards.","suburban area with low-rise buildings, open fields, and minimal signage.","busy highway intersection with multiple lanes, overhead signs, and no visible pedestrians.","An urban area with multi-story buildings and trees, but without commercial billboards or significant pedestrian activity.",What is the road configuration at the accident location,Road Configuration,"A multi-lane main road with a marked crosswalk, approaching a signalized intersection.","two-lane road with a pedestrian crossing, approaching an uncontrolled intersection.","multi-lane road with a marked crosswalk, but without traffic signals at the intersection.","single-lane road with a crosswalk and traffic lights, leading to a T-shaped junction.",What type of collision occurred between the two vehicles?,Accident Type,"A series of T-bone collisions, the silver car was hit by two vehicles going straight",rear-end collision occurred when the silver car was struck by a vehicle from behind,side-swipe collision happened as two vehicles traveling parallel sides scraped against each other,"The silver car was hit by one vehicle turning left, resulting in a single T-bone impact",What was the primary cause of this accident?,Accident Cause,"The silver car made an abrupt, unsignaled, and sharp turn across an occupied lane of traffic.",The silver car failed to yield at a crosswalk while turning left.,"The pedestrian stepped into the road unexpectedly, causing the driver to swerve.",The silver car made a sharp turn but had signaled in advance and did not enter an occupied lane.,How could this accident have most likely been prevented?,Accident Prevention,"The driver of the silver car should have checked mirrors/blind spots, signaled, and only changed lanes when it was safe to do so.",The driver of the silver car should have maintained a greater following distance to allow more time to react to sudden movements.,The pedestrian should have waited for the traffic light to change before crossing the street.,"The driver of the silver car should have checked mirrors and signaled, but only needed to change lanes if there was no oncoming traffic."
000182,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Cloudy skies with dry road surfaces.,Overcast skies with wet road surfaces due to recent rainfall.,Partly sunny conditions with dry pavement and moderate visibility.,Cloudy weather with rain falling intermittently on the roadway.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,At suburban intersection with active traffic signals.,At a rural intersection with stop signs and minimal traffic flow.,On a multi-lane urban roadway with no traffic signals present.,At a suburban intersection controlled by yield signs rather than traffic signals.,What is the configuration of the road where the accident took place?,Road Configuration,A busy signalized multi-lane intersection.,multi-lane road with a stop sign and no traffic signals.,busy intersection with multiple lanes but no signalization.,two-lane road with traffic lights and moderate vehicle flow.,What type of collision occurred between the truck and the SUV?,Accident Type,A side-impact (T-bone) collision where the front of the van hit the side of the minivan.,rear-end collision where the truck struck the back of the SUV from behind.,head-on collision between the front of the truck and the front of the SUV.,side-impact collision where the side of the van hit the front of the minivan.,What was the primary and direct cause of this accident?,Accident Cause,The red van driver failed to stop at a red traffic light and entered the intersection.,The red van driver turned left without yielding to oncoming traffic.,The black sedan failed to maintain a safe distance from the vehicle ahead.,The red van driver entered the intersection after the light had turned yellow.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The red minivan waits for a safe and clear gap in traffic before entering and crossing the main road.,The red minivan accelerates quickly to merge into traffic without checking for oncoming vehicles.,The driver of the white van yields to the red minivan before entering the main road.,The red minivan stops at the stop sign but proceeds immediately when the traffic light turns green.
000185,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light rain and reduced visibility,Early morning with overcast skies and moderate fog,Evening with clear skies but dim lighting due to setting sun,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,quiet residential street with single lanes and no visible commercial signage.,rural highway with open roads and minimal traffic signs or billboards.,"busy urban intersection with multiple lanes and traffic lights, but no prominent advertising billboards.",What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,multi-lane intersection controlled by stop signs.,signalized roundabout with multiple entry points.,two-lane road with a crosswalk and traffic signals.,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,side-swipe collision between the passenger sides of two vehicles.,rear-end collision involving the vehicle directly ahead.,T-bone collision where one vehicle struck the side of another at an intersection.,What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,The sedan failed to yield at the intersection and turned abruptly into oncoming traffic.,The sedan was distracted by a mobile phone while approaching the intersection.,"The sedan attempted to change lanes suddenly without signaling, causing the collision.",Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,The sedan yields to the vehicle entering from the right at the intersection.,The driver maintains a safe following distance behind the car ahead.,The sedan accelerates quickly to clear the intersection before the light changes.
000187,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daytime, with clear skies and dry road surfaces.","Daytime, with partly cloudy skies and wet road surfaces due to recent rain","Early morning, with low visibility caused by fog and damp pavement","Daytime, with clear skies but heavy traffic and reduced lighting from tree shade",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road roadway with moderate traffic.,two-lane road with heavy traffic and frequent lane changes,single-lane road with light traffic and minimal vehicle interaction,multi-lane road with low traffic density and no visible intersections,What is the road configuration at the location of the incident?,Road Configuration,A straight segment of a multi-lane road.,curved section of a two-lane road with moderate traffic,An intersection with multiple lanes and traffic signals,straight road with only one lane in each direction,How should the collision between the silver sedan and the blue hatchback be classified?,Accident Type,A side-impact (T-bone) collision.,rear-end collision involving the silver sedan and the blue hatchback.,head-on collision between the two vehicles.,sideswipe collision where both vehicles were traveling in the same direction.,What was the primary critical error that led to this collision?,Accident Cause,The silver sedan failed to yield the right-of-way to through traffic.,The blue sedan entered the intersection without checking for cross traffic.,"The white sedan accelerated suddenly, causing other vehicles to brake abruptly.",The silver sedan was turning left but did not signal its intention in advance.,What action would have been the most effective way to prevent this accident?,Accident Prevention,The driver of the silver sedan waits for a safe and clear gap in traffic before attempting to cross or enter the lane.,The driver of the silver sedan signals in advance before changing lanes to alert other drivers.,The driver of the blue car maintains a safe distance from the vehicle ahead to avoid sudden braking.,The driver of the silver sedan accelerates quickly to merge into the lane without checking for oncoming traffic.
000188,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was a rainy day, and the road surface was wet.","It was a cloudy day, and the road surface was dry.",It was a sunny afternoon with clear visibility and dry pavement.,"It was raining lightly, but the road surface was not wet due to recent drainage.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area characterized by high-rise residential buildings.,suburban area with low-rise apartment buildings and wide roads.,commercial district featuring shopping centers and office buildings.,An urban residential zone with mixed-use buildings and limited pedestrian activity.,What is the road configuration at the location of the incident?,Road Configuration,A multi-lane urban road approaching an intersection with traffic lights.,two-lane residential road with a stop sign at a crosswalk.,multi-lane highway approaching a roundabout with no traffic signals.,single-lane urban road with a pedestrian crossing and a red light.,What type of collision occurred between the red car and the silver one?,Accident Type,"A head-on collision, where the two vehicles hit front to front.","rear-end collision, where the red car struck the silver vehicle from behind.","side-impact collision, where the two vehicles collided at a right angle.","frontal collision, but with the red car hitting the side of the silver car.",What was the direct and primary cause of the collision?,Accident Cause,The silver car drived into the opposite lane,The red car failed to yield at the intersection,The truck turned left without signaling,The silver car was driving too fast for the weather conditions,ow could one of the drivers do to prevent this accident effectively,Accident Prevention,The silver sedan focuses on driving while turning.,The driver of the silver sedan could have signaled earlier before turning.,The red car should have maintained a safe distance from the vehicle ahead.,The silver sedan could have slowed down while approaching the intersection.
000190,"Based on the visual information, what were the weather and lighting conditions at the time of the incident?",Weather & Light,It was daytime with clear weather and good visibility.,It was daytime with partly cloudy weather and moderate visibility.,It was early morning with light fog and reduced visibility.,It was daytime with clear skies but poor lighting due to shadows from surrounding buildings.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,The scene takes place on a multi-lane urban road.,The scene takes place on a two-lane road with light traffic in a suburban area.,The scene shows a busy intersection on a rural highway with minimal pedestrian activity.,"The scene occurs on a multi-lane road with traffic signals, but the surrounding area appears to be semi-rural rather than urban.",What is the configuration of the road where the incident occurs?,Road Configuration,"A multi-lane road, moderate traffic flow, approaching a signalized intersection with a crosswalk.",two-lane road with heavy traffic approaching a roundabout and no crosswalk,multi-lane road with light traffic near a stop sign intersection and no pedestrian crossing,divided highway with moderate traffic flow approaching an unsignalized intersection with a crosswalk,How would you classify the type of accident that occurs in the video?,Accident Type,A severe head-on collision in the left lane.,rear-end collision involving multiple vehicles in the center lane.,side-swipe accident between two cars in the right lane.,"head-on collision in the left lane, but with minor damage and no visible injuries.",What was the primary cause of this collision?,Accident Cause,The opposite white car entered the wrong lane,The white car failed to yield at the intersection,The red vehicle suddenly accelerated into the lane,The driver of the white car misjudged the distance while turning,Which action could have most effectively prevented this incident?,Accident Prevention,The oppsite car slows down and observes the road sign carefully.,The driver maintains a safe distance from the vehicle ahead and avoids sudden braking.,The opposing car yields to the turning vehicle while approaching the intersection.,The driver checks the side mirrors before changing lanes and signals properly.
000191,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was a near-dusk time with dry road.,It was a bright daytime with wet road conditions.,It was early morning with clear skies and dry pavement.,It was near-dusk with light rain falling on the road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An rural road with moderate traffic flow and surrounded by woods,suburban road with light traffic and lined with residential buildings,two-lane highway with heavy traffic and open fields on both sides,An urban road with moderate traffic flow and surrounded by trees,What is the configuration of the main road on which the blue van was traveling?,Road Configuration,A multi-lane road approaching a T-junction with a double solid lines separating opposing traffic.,two-lane road with a single solid line dividing traffic and approaching a roundabout.,multi-lane road with dashed center lines leading to a crossroads without any junction signs.,divided highway with a median barrier and multiple lanes approaching a T-junction.,"How would you classify the type of collision?""",Accident Type,"Series of T-bone collision where a straightforward-white sedan hit by a dark minivan and lost control, then made a lateral drift, comiitted a T-bone with the blue van ahead the ego-car.","rear-end collision occurred when the white sedan struck the dark minivan from behind, causing it to veer off course and collide with the blue van ahead.","side-swipe incident where the white sedan drifted into the adjacent lane and made contact with the dark minivan, followed by a minor impact with the blue van in front.","T-bone collision initiated by the white sedan hitting the side of the dark minivan, but the vehicle maintained control and did not drift into further contact with the blue van ahead.",What was the primary cause of this accident?,Accident Cause,The white car lost control after the side impact in the intersection,The white car attempted to turn left and collided with the blue van in the intersection,"The blue van suddenly braked, causing the white car to lose control and crash",The white car was speeding and failed to yield at the intersection,What action could have most likely prevented this collision?,Accident Prevention,The driver of the dark silver seadan stops and checks for oncoming traffic on the main road before proceeding.,The driver of the white minivan yields to traffic on the main road before entering the intersection.,The driver of the dark silver sedan signals left before turning onto the side road.,The driver of the blue van maintains a safe following distance from the vehicle ahead.
000193,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with partly cloudy skies and moderate visibility,Early morning with bright sunlight and high contrast lighting,Nighttime with artificial street lighting and limited visibility,What best describes the traffic environment where the accident occurred?,Traffic Environment,n urban road with trees and buildings alongside.,residential street with houses and parked cars on both sides,highway with wide lanes and no visible roadside structures,commercial area with shops and a parking lot nearby,What is the configuration of the road where the incident takes place?,Road Configuration,"A multi-lane bend with at least two lanes for traffic moving in the same direction, , approaching a traffic-congest intersection.","straight two-lane road with traffic moving in both directions, leading to a roundabout intersection.","single-lane road with a sharp curve and no visible traffic signals, approaching a pedestrian crossing.","multi-lane road with at least two lanes for traffic moving in the same direction, but without any signs of congestion or an upcoming intersection.",Which of the following best describes the type of accident shown in the video?,Accident Type,A sideswipe collision by the large truck and an in-lane black car,rear-end collision between the large truck and a black car in the adjacent lane,side-swipe incident involving the large truck and a white vehicle on the right side of the road,lane departure event where the large truck veered into the path of a nearby black car,What was the primary cause of this accident?,Accident Cause,The truck merging to the left veered sharply to the right due to an unstable center of gravity.,The truck lost control due to sudden braking while merging into the left lane.,"The vehicle behind the truck failed to maintain a safe following distance, leading to the collision.","The truck swerved to avoid a pedestrian on the sidewalk, causing it to veer into the opposite lane.",How could this accident have most effectively been prevented?,Accident Prevention,"The truck driver should have planned the turn in advance, moved to the rightmost lane, and slowly sped up before turning.",The truck driver should have signaled earlier and moved to the leftmost lane before making the turn.,The car behind the truck should have maintained a greater following distance to avoid sudden braking.,The truck driver should have slowed down gradually while staying in the center lane during the turn.
000198,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,Rainy day with wet roads and low visibility,Overcast skies with dry pavement and moderate lighting,Snow accumulation on the road with clear sky conditions,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,suburban area with low traffic and residential buildings,rural road with open fields and minimal infrastructure,busy intersection in a commercial district with heavy pedestrian activity,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.","narrow, two-lane road with clear lane markings and traffic signals at the intersection.",roundabout with multiple entry points and visible directional signage.,wide intersection with marked lanes but poor visibility due to wet road conditions and overcast weather.,Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,side-impact collision between the ego-car and a vehicle crossing the intersection,frontal collision caused by the ego-car accelerating into the rear of the front car,rear-end collision initiated by the ego-car while the front car was stationary,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,The front minivan failed to yield when turning left into the main road.,"The bus accelerated suddenly, causing the minivan to swerve and collide.",The minivan started reversing after the bus had already entered the intersection.,Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,The black minivan driver should have yielded to the vehicle on the right,The driver of the white car should have slowed down before turning,The black minivan driver should have checked for pedestrians before entering the intersection
