# 方案#1 最终筛选结果（共200个视频）
# 阈值：Complexity ≥ 6, Dynamic ≥ 0.7000000000000002
# 生成时间：2026-01-15T22:36:54.406528

  1. 000156.mp4           | Complexity:  6 | Dynamic: 1.4541 | Accident Frame:  33
 89. 000926.mp4           | Complexity:  7 | Dynamic: 0.8389 | Accident Frame:  30
 90. 001363.mp4           | Complexity:  6 | Dynamic: 0.8364 | Accident Frame:  33
 91. 000250.mp4           | Complexity:  7 | Dynamic: 0.8301 | Accident Frame:  35
 92. 000427.mp4           | Complexity:  7 | Dynamic: 0.8301 | Accident Frame:  41
 93. 000134.mp4           | Complexity:  7 | Dynamic: 0.8281 | Accident Frame:  32
 94. 001041.mp4           | Complexity:  8 | Dynamic: 0.8281 | Accident Frame:  32
 95. 000185.mp4           | Complexity:  8 | Dynamic: 0.8262 | Accident Frame:  30
 96. 001370.mp4           | Complexity:  8 | Dynamic: 0.8247 | Accident Frame:  30
 97. 000167.mp4           | Complexity:  7 | Dynamic: 0.8223 | Accident Frame:  30
 98. 001367.mp4           | Complexity:  6 | Dynamic: 0.8203 | Accident Frame:  31
 99. 000722.mp4           | Complexity:  7 | Dynamic: 0.8198 | Accident Frame:  30
100. 000843.mp4           | Complexity:  7 | Dynamic: 0.8193 | Accident Frame:  32
101. 000572.mp4           | Complexity: 10 | Dynamic: 0.8193 | Accident Frame:  34
102. 000078.mp4           | Complexity:  6 | Dynamic: 0.8188 | Accident Frame:  30
103. 000578.mp4           | Complexity:  7 | Dynamic: 0.8174 | Accident Frame:  36
104. 001024.mp4           | Complexity:  9 | Dynamic: 0.8174 | Accident Frame:  35
105. 000792.mp4           | Complexity: 11 | Dynamic: 0.8164 | Accident Frame:  34
106. 000699.mp4           | Complexity:  7 | Dynamic: 0.8159 | Accident Frame:  34
107. 000978.mp4           | Complexity:  6 | Dynamic: 0.8154 | Accident Frame:  45
108. 001413.mp4           | Complexity:  7 | Dynamic: 0.8154 | Accident Frame:  39
109. 000465.mp4           | Complexity:  8 | Dynamic: 0.8149 | Accident Frame:  30
110. 000753.mp4           | Complexity:  6 | Dynamic: 0.8149 | Accident Frame:  47
111. 000600.mp4           | Complexity:  8 | Dynamic: 0.8140 | Accident Frame:  46
112. 001168.mp4           | Complexity:  7 | Dynamic: 0.8101 | Accident Frame:  41
113. 000726.mp4           | Complexity:  7 | Dynamic: 0.8066 | Accident Frame:  40
114. 000278.mp4           | Complexity:  8 | Dynamic: 0.8057 | Accident Frame:  37
115. 000580.mp4           | Complexity:  9 | Dynamic: 0.8037 | Accident Frame:  43
116. 000529.mp4           | Complexity:  6 | Dynamic: 0.8037 | Accident Frame:  36
117. 001054.mp4           | Complexity:  7 | Dynamic: 0.8032 | Accident Frame:  38
118. 000982.mp4           | Complexity:  8 | Dynamic: 0.8032 | Accident Frame:  33
119. 000854.mp4           | Complexity:  8 | Dynamic: 0.8032 | Accident Frame:  35
120. 000913.mp4           | Complexity:  8 | Dynamic: 0.8027 | Accident Frame:  32
121. 000171.mp4           | Complexity:  6 | Dynamic: 0.8008 | Accident Frame:  30
122. 000033.mp4           | Complexity:  7 | Dynamic: 0.7988 | Accident Frame:  33
123. 000353.mp4           | Complexity:  8 | Dynamic: 0.7969 | Accident Frame:  31
124. 000243.mp4           | Complexity:  6 | Dynamic: 0.7915 | Accident Frame:  31
125. 000358.mp4           | Complexity: 14 | Dynamic: 0.7915 | Accident Frame:  37
126. 000349.mp4           | Complexity:  9 | Dynamic: 0.7871 | Accident Frame:  37
127. 000775.mp4           | Complexity:  6 | Dynamic: 0.7871 | Accident Frame:  38
128. 000414.mp4           | Complexity: 10 | Dynamic: 0.7866 | Accident Frame:  32
129. 000487.mp4           | Complexity:  6 | Dynamic: 0.7861 | Accident Frame:  39
130. 001290.mp4           | Complexity:  6 | Dynamic: 0.7856 | Accident Frame:  30
131. 000627.mp4           | Complexity:  6 | Dynamic: 0.7852 | Accident Frame:  37
132. 001106.mp4           | Complexity:  6 | Dynamic: 0.7847 | Accident Frame:  46
133. 000475.mp4           | Complexity:  7 | Dynamic: 0.7837 | Accident Frame:  42
134. 001354.mp4           | Complexity:  7 | Dynamic: 0.7827 | Accident Frame:  32
135. 000246.mp4           | Complexity:  6 | Dynamic: 0.7822 | Accident Frame:  30
136. 001094.mp4           | Complexity:  6 | Dynamic: 0.7808 | Accident Frame:  36
137. 001362.mp4           | Complexity: 10 | Dynamic: 0.7803 | Accident Frame:  30
138. 000249.mp4           | Complexity:  7 | Dynamic: 0.7773 | Accident Frame:  30
139. 001289.mp4           | Complexity:  6 | Dynamic: 0.7769 | Accident Frame:  44
140. 000901.mp4           | Complexity:  7 | Dynamic: 0.7754 | Accident Frame:  30
141. 000462.mp4           | Complexity:  7 | Dynamic: 0.7744 | Accident Frame:  45
142. 000986.mp4           | Complexity:  9 | Dynamic: 0.7734 | Accident Frame:  43
143. 000524.mp4           | Complexity:  7 | Dynamic: 0.7720 | Accident Frame:  35
144. 000205.mp4           | Complexity:  6 | Dynamic: 0.7695 | Accident Frame:  30
145. 000464.mp4           | Complexity:  7 | Dynamic: 0.7656 | Accident Frame:  37
146. 000617.mp4           | Complexity:  7 | Dynamic: 0.7656 | Accident Frame:  37
147. 000311.mp4           | Complexity:  9 | Dynamic: 0.7642 | Accident Frame:  33
148. 000363.mp4           | Complexity:  7 | Dynamic: 0.7627 | Accident Frame:  33
149. 000369.mp4           | Complexity:  7 | Dynamic: 0.7622 | Accident Frame:  42
150. 000816.mp4           | Complexity:  6 | Dynamic: 0.7617 | Accident Frame:  31
151. 000394.mp4           | Complexity:  8 | Dynamic: 0.7607 | Accident Frame:  41
152. 000992.mp4           | Complexity: 10 | Dynamic: 0.7607 | Accident Frame:  36
153. 001049.mp4           | Complexity:  9 | Dynamic: 0.7603 | Accident Frame:  37
154. 000317.mp4           | Complexity: 10 | Dynamic: 0.7588 | Accident Frame:  33
155. 000264.mp4           | Complexity:  9 | Dynamic: 0.7583 | Accident Frame:  40
156. 000416.mp4           | Complexity: 10 | Dynamic: 0.7583 | Accident Frame:  31
157. 000142.mp4           | Complexity:  8 | Dynamic: 0.7573 | Accident Frame:  30
158. 001108.mp4           | Complexity:  7 | Dynamic: 0.7563 | Accident Frame:  48
159. 001454.mp4           | Complexity:  9 | Dynamic: 0.7544 | Accident Frame:  37
160. 001386.mp4           | Complexity:  9 | Dynamic: 0.7539 | Accident Frame:  32
161. 000490.mp4           | Complexity:  6 | Dynamic: 0.7505 | Accident Frame:  44
162. 000104.mp4           | Complexity:  9 | Dynamic: 0.7480 | Accident Frame:  33
163. 001347.mp4           | Complexity:  9 | Dynamic: 0.7461 | Accident Frame:  30
164. 000117.mp4           | Complexity:  6 | Dynamic: 0.7451 | Accident Frame:  30
165. 001247.mp4           | Complexity:  8 | Dynamic: 0.7446 | Accident Frame:  36
166. 000125.mp4           | Complexity:  6 | Dynamic: 0.7446 | Accident Frame:  35
167. 001361.mp4           | Complexity:  6 | Dynamic: 0.7441 | Accident Frame:  40
168. 000258.mp4           | Complexity:  6 | Dynamic: 0.7417 | Accident Frame:  45
169. 000967.mp4           | Complexity:  6 | Dynamic: 0.7402 | Accident Frame:  31
170. 000595.mp4           | Complexity:  7 | Dynamic: 0.7383 | Accident Frame:  46
171. 000692.mp4           | Complexity:  6 | Dynamic: 0.7363 | Accident Frame:  32
172. 001232.mp4           | Complexity:  9 | Dynamic: 0.7349 | Accident Frame:  31
173. 000611.mp4           | Complexity:  7 | Dynamic: 0.7349 | Accident Frame:  48
174. 001476.mp4           | Complexity: 10 | Dynamic: 0.7349 | Accident Frame:  34
175. 000150.mp4           | Complexity:  9 | Dynamic: 0.7339 | Accident Frame:  40
176. 000074.mp4           | Complexity:  9 | Dynamic: 0.7319 | Accident Frame:  30
177. 000032.mp4           | Complexity:  7 | Dynamic: 0.7319 | Accident Frame:  36
178. 000300.mp4           | Complexity:  8 | Dynamic: 0.7319 | Accident Frame:  38
179. 001085.mp4           | Complexity:  6 | Dynamic: 0.7290 | Accident Frame:  31
180. 000215.mp4           | Complexity:  7 | Dynamic: 0.7275 | Accident Frame:  30
181. 000749.mp4           | Complexity: 10 | Dynamic: 0.7271 | Accident Frame:  32
182. 000871.mp4           | Complexity:  8 | Dynamic: 0.7261 | Accident Frame:  30
183. 001184.mp4           | Complexity:  6 | Dynamic: 0.7251 | Accident Frame:  34
184. 000953.mp4           | Complexity:  7 | Dynamic: 0.7241 | Accident Frame:  42
185. 001318.mp4           | Complexity:  7 | Dynamic: 0.7231 | Accident Frame:  30
186. 001294.mp4           | Complexity:  7 | Dynamic: 0.7227 | Accident Frame:  30
187. 000042.mp4           | Complexity:  6 | Dynamic: 0.7192 | Accident Frame:  35
188. 000979.mp4           | Complexity:  7 | Dynamic: 0.7188 | Accident Frame:  33
189. 000426.mp4           | Complexity:  7 | Dynamic: 0.7168 | Accident Frame:  30
190. 000241.mp4           | Complexity:  9 | Dynamic: 0.7129 | Accident Frame:  31
191. 001270.mp4           | Complexity:  6 | Dynamic: 0.7119 | Accident Frame:  46
192. 000136.mp4           | Complexity:  6 | Dynamic: 0.7114 | Accident Frame:  35
193. 000267.mp4           | Complexity: 11 | Dynamic: 0.7114 | Accident Frame:  30
194. 000860.mp4           | Complexity:  6 | Dynamic: 0.7109 | Accident Frame:  35
195. 000407.mp4           | Complexity:  7 | Dynamic: 0.7104 | Accident Frame:  40
196. 000846.mp4           | Complexity:  7 | Dynamic: 0.7090 | Accident Frame:  30
197. 000691.mp4           | Complexity:  6 | Dynamic: 0.7080 | Accident Frame:  38
198. 001374.mp4           | Complexity:  6 | Dynamic: 0.7070 | Accident Frame:  34
199. 000961.mp4           | Complexity:  6 | Dynamic: 0.7061 | Accident Frame:  30
200. 000947.mp4           | Complexity:  6 | Dynamic: 0.7031 | Accident Frame:  30
