video_name,accident_frame,scene_complexity,dynamic_change,window_length
000490.mp4,44,6,0.75048828125,36
000104.mp4,33,9,0.748046875,47
001347.mp4,30,9,0.74609375,50
000117.mp4,30,6,0.7451171875,50
001247.mp4,36,8,0.74462890625,44
000125.mp4,35,6,0.74462890625,45
001361.mp4,40,6,0.744140625,40
000258.mp4,45,6,0.74169921875,35
000967.mp4,31,6,0.740234375,49
000595.mp4,46,7,0.73828125,34
000692.mp4,32,6,0.736328125,48
001232.mp4,31,9,0.73486328125,49
000611.mp4,48,7,0.73486328125,32
001476.mp4,34,10,0.73486328125,46
000150.mp4,40,9,0.73388671875,40
000074.mp4,30,9,0.73193359375,50
000032.mp4,36,7,0.73193359375,44
000300.mp4,38,8,0.73193359375,42
001085.mp4,31,6,0.72900390625,49
000215.mp4,30,7,0.7275390625,50
000749.mp4,32,10,0.72705078125,48
000871.mp4,30,8,0.72607421875,50
001184.mp4,34,6,0.72509765625,46
000953.mp4,42,7,0.72412109375,38
001318.mp4,30,7,0.72314453125,50
001294.mp4,30,7,0.72265625,50
000042.mp4,35,6,0.71923828125,45
000979.mp4,33,7,0.71875,47
000426.mp4,30,7,0.716796875,50
000241.mp4,31,9,0.712890625,49
001270.mp4,46,6,0.7119140625,34
000136.mp4,35,6,0.71142578125,45
000267.mp4,30,11,0.71142578125,50
000860.mp4,35,6,0.7109375,45
000407.mp4,40,7,0.71044921875,40
000846.mp4,30,7,0.708984375,50
000691.mp4,38,6,0.7080078125,42
001374.mp4,34,6,0.70703125,46
000961.mp4,30,6,0.7060546875,50
000947.mp4,30,6,0.703125,50
